,state,measure,category,date
7,IA,"A temporary burn ban is now in effect within the City limits. The ban, which other cities and at least seven states have enacted, is in place to limit the diversion of first responder resources and may provide some relief to residents experiencing respiratory issues.",Not sure,4/8/2020
9,NC,Mayor letter regarding Covid 19 precautions; incldes resources,Not sure,3/18/2020
15,ND,Drive-through testing pilot program announced and executed,Not sure,4/3/2020
16,CT,"Town's contact info for help for most vulnerable, including elderly, underlying medical conditions, etc.",Not sure,3/19/2020
17,CT,Emergency/seniors' food delivery contact info,Not sure,3/19/2020
21,MD,$175 million small business coronavirus relief program announced,Not sure,3/23/2020
29,GA,refrain from taking any action which would result in the termination of water services,Not sure,3/11/2020
32,GA,moratorium on residential evictions,Not sure,3/17/2020
33,GA,"emergency assistance to food programs for children and seniors, homeless preparedness, support to small businesses, assistance to hourly wage earners and other areas adversely impacted by COVID-19",Not sure,3/18/2020
34,GA,reduce Concessionaire and Car Rental Company rental requirements,Not sure,3/18/2020
37,GA,refrain from enforcing prohibitions against the sale of unopened wine or malt beverages,Not sure,3/20/2020
41,GA,"website that will serve as a COVID-19 resource hub for Atlanta residents. By visiting ATLSTRONG.ORG, residents and business can sign up for COVID-19 text alerts, and request information on emergency fund assistance relief",Not sure,3/26/2020
42,GA,donation campaign led by the Mayor’s Office in partnership with United Way of Greater Atlanta to support City of Atlanta residents experiencing economic hardships and health-related issues caused by COVID-19,Not sure,3/31/2020
43,GA,"rent relief efforts for seniors, families, and other residents who live in AH-owned or subsidized units",Not sure,4/7/2020
44,GA,"($1,500,000.00) to provide additional individual shelter options with supportive services for people experiencing homelessness",Not sure,4/8/2020
49,GA,implemented an Extreme Condition Hazard Pay Policy for the City’s frontline staff members,Not sure,4/6/2020
51,GA,"City voted to end hazard pay for first responders and essential employees beginning May 1st, in response to state reopening economy",Not sure,4/22/2020
53,NC,Town response ,Not sure,
54,MD,Baltimore Mayor Young announces $5.5 million small business initiative to help with coronavirus recovery,Not sure,4/23/2020
55,NC,Town is roadblocked and limiting access; potentially reducing closures and gatherings,Not sure,4/16/2020
61,ND,Announcement and kickoff of Homebody Hero that encourages citizens to stay home,Not sure,4/7/2020
62,ND,Recommendation to constituents to follow CDC guidelines and start using cloth face coverings when going outside,Not sure,4/6/2020
64,ND,Bismark YMCA offers emergency child care.,Not sure,4/15/2020
72,MA,$3 million in assistance for renters and $2 million for small business,Not sure,4/2/2020
77,NJ,Grace period for property tax payment due May 1 extended to May 31,Not sure,5/1/2020
82,AZ,Inmates were released from prison and will be housed at Hickman Family Farms (where they already were working) to help in the production of eggs.,Not sure,3/25/2020
86,VT,"Burlington Will Check Essential Workers' Temperatures, Distributes Thermometers",Not sure,3/31/2020
87,VY,Green Mountain Transit offers free bus rides indefinitely,Not sure,3/30/2020
102,CA,"Governor Gavin Newsom signed an executive order that will provide tax, regulatory, and licensing extensions for businesses.",Not sure,3/30/2020
106,IA,"City of Cedar Rapids Transit will suspend fixed-route transit service effective Wednesday, March 25 as an additional measure to limit the potential spread of COVID-19. 
Non-essential public meetings have been canceled until further notice.",Not sure,3/25/2020
