Date,Starbucks,Kura Sushi,Carrols restaurant group,Dine Brands,Ark Restaurants
2019-11-26,84.559998,24.719998999999998,8.04,80.269997,19.98
2019-11-27,85.769997,25.09,7.87,82.08000200000001,20.059998999999998
2019-11-29,85.43,25.940001000000002,7.92,82.879997,20.23
2019-12-02,84.57,24.870001000000002,7.84,82.779999,20.049999
2019-12-03,84.82,25.219998999999998,7.57,82.160004,20.049999
2019-12-04,85.400002,24.6,7.34,81.730003,20.290001
2019-12-05,84.449997,25.120001000000002,7.1,81.400002,20.25
2019-12-06,86.32,25.639999,7.23,82.389999,20.35
2019-12-09,86.279999,25.09,7.23,80.809998,20.5
2019-12-10,86.040001,25.139999,7.16,82.110001,20.35
2019-12-11,86.589996,25.120001000000002,7.14,83.82,20.34
2019-12-12,88.209999,24.790001,7.13,84.059998,20.309998999999998
2019-12-13,88.66999799999999,25.610001,6.95,81.41999799999999,20.309998999999998
2019-12-16,88.779999,25.889999,6.8,81.480003,20.16
2019-12-17,88.129997,25.040001,6.77,81.730003,21.09
2019-12-18,87.989998,25.540001,6.9,81.800003,21.219998999999998
2019-12-19,88.519997,26.620001000000002,6.88,81.620003,21.42
2019-12-20,88.459999,27.08,6.84,81.389999,22.0
2019-12-23,88.230003,28.32,6.86,81.800003,21.98
2019-12-24,88.519997,28.76,6.93,82.129997,21.98
2019-12-26,88.08000200000001,28.07,6.94,82.809998,21.98
2019-12-27,88.129997,27.07,6.87,81.540001,22.0
2019-12-30,87.440002,26.309998999999998,7.0,84.18,22.75
2019-12-31,87.91999799999999,25.450001,7.05,83.519997,22.49
2020-01-02,89.349998,27.110001,7.03,85.290001,22.030001000000002
2020-01-03,88.83000200000001,26.49,7.09,85.07,21.700001
2020-01-06,88.129997,27.83,6.95,85.339996,21.700001
2020-01-07,87.860001,27.860001,6.72,84.66999799999999,22.299999
2020-01-08,88.879997,28.780001000000002,6.68,86.440002,22.459999
2020-01-09,90.529999,25.620001000000002,6.75,84.779999,22.18
2020-01-10,90.160004,24.9,6.79,85.410004,21.809998999999998
2020-01-13,91.08000200000001,24.27,5.89,85.150002,21.809998999999998
2020-01-14,90.989998,23.940001000000002,5.8,85.290001,21.75
2020-01-15,91.540001,23.459999,5.47,86.230003,22.200001
2020-01-16,92.58000200000001,23.809998999999998,5.54,88.529999,22.82
2020-01-17,93.620003,24.24,5.39,87.690002,22.24
2020-01-21,92.529999,23.42,5.11,86.57,22.76
2020-01-22,92.529999,22.76,4.99,85.959999,22.76
2020-01-23,93.75,22.959999,4.98,86.449997,22.76
2020-01-24,92.029999,23.1,4.79,86.160004,22.26
2020-01-27,88.730003,23.48,4.76,86.050003,21.85
2020-01-28,88.599998,24.040001,5.11,87.730003,21.9
2020-01-29,86.720001,23.02,4.8,89.139999,22.459999
2020-01-30,85.839996,22.75,4.71,87.480003,22.459999
2020-01-31,84.83000200000001,22.52,4.54,85.25,22.459999
2020-02-03,86.010002,22.959999,4.67,85.269997,21.9
2020-02-04,88.379997,22.940001000000002,4.71,85.760002,22.0
2020-02-05,87.559998,23.469998999999998,5.0,89.129997,21.75
2020-02-06,86.150002,22.709999,4.83,89.690002,22.23
2020-02-07,86.41999799999999,22.879998999999998,4.8,86.300003,22.0
2020-02-10,87.529999,22.77,4.73,86.959999,22.309998999999998
2020-02-11,87.510002,22.77,4.96,88.25,23.26
2020-02-12,88.57,22.620001000000002,5.1,89.849998,22.41
2020-02-13,89.93,22.700001,5.11,90.989998,22.75
2020-02-14,89.279999,22.120001000000002,5.1,92.050003,22.75
2020-02-18,89.230003,22.59,4.98,94.019997,22.799999
2020-02-19,90.139999,23.299999,5.2,95.709999,22.84
2020-02-20,88.599998,24.73,5.37,97.839996,22.85
2020-02-21,87.360001,24.309998999999998,5.08,97.209999,22.85
2020-02-24,84.519997,22.780001000000002,5.13,96.360001,22.809998999999998
2020-02-25,82.190002,22.59,4.93,88.550003,22.65
2020-02-26,80.66999799999999,21.68,4.2,87.16999799999999,22.540001
2020-02-27,78.290001,20.59,3.81,82.099998,21.98
2020-02-28,78.43,18.610001,4.13,81.849998,20.6
2020-03-02,82.379997,18.700001,3.76,84.82,21.0
2020-03-03,78.599998,17.57,3.6,83.720001,20.129998999999998
2020-03-04,79.66999799999999,17.67,3.61,90.18,19.65
2020-03-05,76.190002,15.95,3.25,78.800003,19.549999
2020-03-06,75.339996,15.39,2.92,74.150002,18.6
2020-03-09,70.83000200000001,14.02,2.37,61.5,17.52
2020-03-10,74.870003,15.14,2.52,60.130001,18.0
2020-03-11,68.300003,13.81,2.27,51.34,17.559998999999998
2020-03-12,62.099998,12.52,1.93,35.0,16.26
2020-03-13,69.91999799999999,12.35,2.05,42.68,14.21
2020-03-16,58.59,10.24,1.54,33.27,10.98
2020-03-17,58.98,8.52,1.42,30.469998999999998,8.75
2020-03-18,56.330002,5.28,1.07,17.0,8.54
2020-03-19,61.41,6.45,1.4,17.76,8.5
2020-03-20,58.029999,8.06,1.24,17.41,9.34
2020-03-23,56.549999,9.6,1.4,18.879998999999998,8.23
2020-03-24,64.879997,10.96,1.49,25.129998999999998,11.49
2020-03-25,65.809998,13.19,1.67,29.75,12.5
2020-03-26,69.900002,14.49,2.1,36.27,14.52
2020-03-27,66.339996,11.47,2.05,32.610001000000004,13.5
2020-03-30,67.860001,10.91,1.96,28.280001000000002,13.5
2020-03-31,65.739998,11.96,1.82,28.68,10.57
2020-04-01,62.619999,10.41,1.62,22.389999,9.25
2020-04-02,65.0,10.02,1.78,21.0,9.01
2020-04-03,63.049999,8.61,1.55,20.389999,8.25
2020-04-06,67.790001,9.73,1.77,28.059998999999998,9.05
2020-04-07,68.709999,10.3,1.87,29.0,8.51
2020-04-08,71.57,11.06,2.06,32.639998999999996,9.47
2020-04-09,73.879997,12.18,2.45,35.98,10.47
2020-04-13,71.760002,12.07,2.35,32.900002,11.12
2020-04-14,73.66999799999999,14.13,2.63,32.540001000000004,11.78
2020-04-15,72.550003,11.99,2.76,30.860001,12.07
2020-04-16,73.510002,10.11,2.9,29.190001000000002,12.48
2020-04-17,77.099998,10.6,3.04,33.900002,12.38
2020-04-20,75.32,10.29,2.93,30.540001,12.31
2020-04-21,72.720001,9.83,2.88,31.809998999999998,11.51
2020-04-22,77.449997,10.51,3.03,31.9,11.67
2020-04-23,75.150002,11.12,3.01,30.85,11.0
2020-04-24,75.58000200000001,10.62,2.96,30.790001,10.65
