gram,03-22,03-23,03-24,03-25,03-26,03-27,03-28,03-29,03-30,03-31,04-01,04-02,04-03,04-04,04-05,04-06,04-07,04-08,04-09,04-10,04-11,04-12,04-13,04-14,04-15,04-16,04-17,04-18,04-19,04-20,04-21,04-22,04-23,04-24,04-25
~,63056.0,79421.0,85876.0,85937.0,120843.0,125985.0,109444.0,110352.0,130436.0,133508.0,134128.0,136656.0,139627.0,137354.0,134274.0,154076.0,157280.0,162077.0,173752.0,161344.0,143263.0,156727.0,191641.0,188072.0,181560.0,198348.0,176204.0,157083.0,170601.0,187335.0,210378.0,239677.0,197798.0,179966.0,173320.0
pandemia ~,4321.0,5380.0,5863.0,5402.0,8595.0,8305.0,6811.0,6957.0,8421.0,8550.0,9566.0,9487.0,9220.0,8021.0,8441.0,9334.0,10013.0,11052.0,10067.0,9941.0,8081.0,8615.0,10576.0,12028.0,10956.0,10622.0,9716.0,8529.0,8677.0,10979.0,12128.0,12189.0,10767.0,9836.0,8691.0
~,3298.0,4014.0,4353.0,4057.0,8432.0,9686.0,7669.0,7559.0,9293.0,9384.0,9232.0,8925.0,8748.0,9072.0,8433.0,9499.0,10167.0,10276.0,8398.0,9015.0,8446.0,10881.0,10785.0,10294.0,9374.0,9418.0,8920.0,7032.0,8846.0,9538.0,10264.0,9515.0,9374.0,8038.0,7659.0
~,2079.0,2557.0,3175.0,2753.0,6059.0,6445.0,5994.0,5086.0,6764.0,7410.0,6970.0,5818.0,7284.0,6668.0,5930.0,7227.0,9777.0,9196.0,6650.0,6783.0,5619.0,8007.0,9695.0,9407.0,9246.0,9212.0,7933.0,5836.0,8149.0,8415.0,9182.0,8918.0,8612.0,6947.0,6256.0
cases,3074.0,3182.0,3318.0,3044.0,6957.0,5891.0,4816.0,4757.0,4482.0,4036.0,4603.0,4715.0,4213.0,4512.0,4457.0,4363.0,3665.0,4141.0,4596.0,5005.0,4445.0,5129.0,5341.0,4525.0,4423.0,4340.0,4407.0,5389.0,5325.0,5335.0,5576.0,4461.0,4482.0,3800.0,4960.0
~ ~pandemic,1481.0,2366.0,2498.0,2805.0,4997.0,5033.0,3492.0,3500.0,4949.0,4824.0,5262.0,5245.0,5560.0,4460.0,4425.0,5923.0,6384.0,6793.0,6698.0,6936.0,4655.0,4710.0,6769.0,7625.0,7459.0,7555.0,6664.0,5124.0,4945.0,8627.0,7620.0,8316.0,8049.0,6759.0,5732.0
via youtube,3005.0,3096.0,3382.0,3130.0,4166.0,4490.0,4458.0,4493.0,4344.0,4223.0,4434.0,4004.0,4272.0,5041.0,5227.0,4593.0,4241.0,4234.0,4578.0,4737.0,4297.0,4609.0,4887.0,4733.0,4599.0,4453.0,4367.0,4882.0,4948.0,4421.0,4588.0,4329.0,4394.0,4319.0,5229.0
death toll,1370.0,1157.0,1107.0,1608.0,1983.0,1890.0,2239.0,2760.0,2707.0,2835.0,3072.0,2791.0,2354.0,3075.0,3822.0,3298.0,3363.0,3580.0,2988.0,4218.0,5489.0,4753.0,3613.0,3745.0,3351.0,3072.0,6417.0,4640.0,3973.0,3081.0,3109.0,3122.0,2380.0,4011.0,5218.0
new york,2893.0,2779.0,3362.0,3665.0,4977.0,4791.0,5897.0,5604.0,5467.0,4995.0,4368.0,4368.0,5185.0,6805.0,7135.0,6210.0,5426.0,5432.0,6242.0,7634.0,5842.0,6171.0,6553.0,5385.0,4975.0,4954.0,4114.0,4305.0,4898.0,4403.0,4603.0,6683.0,7144.0,4985.0,6011.0
social distancing,3073.0,3305.0,2934.0,3028.0,4253.0,4212.0,3746.0,4374.0,4796.0,4358.0,4158.0,3437.0,3894.0,3761.0,3820.0,4002.0,3843.0,4139.0,4029.0,4508.0,3645.0,4084.0,4290.0,4802.0,4637.0,4547.0,4419.0,4259.0,4410.0,4364.0,3802.0,4231.0,4358.0,3297.0,3393.0
one world,,,,,,,,,,,,,,,,341.0,384.0,,,,,,,,314.0,,501.0,4251.0,2029.0,610.0,,,,,
cases,1351.0,1594.0,1728.0,1788.0,3077.0,3065.0,2696.0,2418.0,2659.0,2593.0,2729.0,2946.0,2813.0,2794.0,2844.0,2771.0,2767.0,3421.0,3421.0,3468.0,3427.0,3762.0,4151.0,3735.0,3275.0,3716.0,3759.0,4180.0,4273.0,4796.0,4295.0,4573.0,4197.0,3761.0,4288.0
home stay,4573.0,5777.0,5489.0,4356.0,5796.0,5719.0,5440.0,5294.0,5979.0,5130.0,5271.0,4996.0,5430.0,5601.0,5277.0,4482.0,4474.0,4239.0,4184.0,4998.0,4665.0,4546.0,4431.0,4735.0,3768.0,4037.0,3842.0,4115.0,4196.0,4745.0,3966.0,4095.0,3879.0,3180.0,3563.0
~ lockdown,814.0,1474.0,2098.0,1943.0,2365.0,2321.0,2219.0,2744.0,3210.0,2745.0,2821.0,2656.0,2497.0,2613.0,2897.0,3042.0,2882.0,3691.0,3610.0,3833.0,3731.0,3929.0,4848.0,5296.0,4365.0,4529.0,3379.0,3904.0,4451.0,5283.0,4326.0,4142.0,4131.0,3577.0,3942.0
~,1900.0,2294.0,2481.0,2290.0,3520.0,3471.0,3010.0,2736.0,3431.0,3342.0,3316.0,3192.0,3122.0,2822.0,3104.0,3301.0,3421.0,4241.0,3995.0,3444.0,3163.0,3249.0,3770.0,3794.0,3338.0,3788.0,3330.0,3844.0,3790.0,3885.0,3834.0,3721.0,3647.0,3431.0,3484.0
~ crisis,2141.0,2871.0,3022.0,3187.0,4441.0,3941.0,3245.0,3964.0,4240.0,4123.0,4767.0,4647.0,5092.0,3784.0,4639.0,4572.0,4810.0,5564.0,5176.0,4247.0,3796.0,4838.0,4664.0,4944.0,4748.0,4801.0,4486.0,3726.0,3874.0,4907.0,5860.0,5183.0,4793.0,3807.0,4454.0
abba kyari,,,826.0,221.0,,,,,,,,,,,,,,,,,,,,,,,826.0,3717.0,501.0,,,,,,
cases new,1533.0,1705.0,1766.0,1830.0,2600.0,2510.0,2925.0,2618.0,2566.0,2421.0,2451.0,2498.0,2580.0,3049.0,3275.0,2488.0,2857.0,2945.0,2749.0,3070.0,2983.0,3711.0,4108.0,3052.0,3424.0,3570.0,3099.0,3462.0,4283.0,4392.0,3987.0,3767.0,3524.0,3403.0,4558.0
~ outbreak,2915.0,3797.0,3759.0,3459.0,4879.0,5067.0,3534.0,3753.0,4965.0,4731.0,4891.0,4726.0,4294.0,3560.0,4077.0,4272.0,4163.0,4606.0,4180.0,3949.0,3183.0,3570.0,3930.0,4777.0,4419.0,5094.0,4457.0,3261.0,3875.0,4215.0,4323.0,4512.0,3728.0,3460.0,3053.0
work together,,,,,,,,,,,,,,,,,,,,,,,,,,,,3199.0,1238.0,333.0,,,,,
together home,,,,,,,,,,,,,,,,,,,,,,,,,,,,3193.0,1327.0,402.0,,,,,
~ death,757.0,656.0,752.0,855.0,1217.0,1351.0,1366.0,2140.0,1723.0,1964.0,2350.0,1837.0,1759.0,1999.0,2309.0,2119.0,2780.0,2508.0,2305.0,3017.0,4005.0,3266.0,2826.0,2381.0,2282.0,2407.0,2714.0,3018.0,2580.0,2056.0,2566.0,3145.0,2101.0,2224.0,2720.0
donald trump,1241.0,1182.0,1429.0,1330.0,1869.0,2290.0,2055.0,2053.0,1923.0,1800.0,2174.0,1764.0,1715.0,2422.0,2658.0,2179.0,2504.0,2673.0,1884.0,1804.0,1444.0,1891.0,2477.0,3438.0,3906.0,3052.0,2470.0,3009.0,2720.0,2485.0,2775.0,2179.0,2912.0,6119.0,3935.0
amid ~ ~,2201.0,2685.0,2901.0,2659.0,3413.0,3287.0,2610.0,2463.0,3399.0,3257.0,3877.0,3394.0,3117.0,2569.0,3152.0,3331.0,3192.0,3455.0,3579.0,3295.0,2585.0,3402.0,4059.0,3969.0,3715.0,3570.0,3387.0,2929.0,2718.0,3347.0,4591.0,3987.0,3624.0,2855.0,2548.0
~,407.0,264.0,243.0,240.0,590.0,913.0,1851.0,3054.0,3138.0,802.0,735.0,569.0,815.0,715.0,2445.0,2458.0,1310.0,692.0,768.0,735.0,1006.0,1612.0,1375.0,947.0,950.0,2777.0,3563.0,2699.0,1148.0,789.0,716.0,968.0,1425.0,2394.0,3152.0
~ ~pandemic,500.0,899.0,999.0,908.0,2016.0,2311.0,1670.0,1426.0,2303.0,2550.0,2285.0,2517.0,2646.0,1921.0,1709.0,2846.0,3395.0,3294.0,2815.0,2667.0,1929.0,2356.0,3205.0,3644.0,4342.0,4844.0,3516.0,2671.0,2559.0,3542.0,3712.0,3976.0,3941.0,3431.0,2589.0
rel nofollow,1959.0,2563.0,2630.0,2799.0,2798.0,2867.0,2246.0,2168.0,2924.0,2858.0,3012.0,2903.0,3100.0,2719.0,2626.0,3550.0,3487.0,3704.0,3429.0,3491.0,2829.0,3068.0,3834.0,3939.0,3821.0,4744.0,3558.0,2666.0,3081.0,3784.0,4017.0,4215.0,4204.0,3583.0,3060.0
href rel,1959.0,2563.0,2630.0,2799.0,2798.0,2867.0,2246.0,2168.0,2924.0,2858.0,3012.0,2903.0,3100.0,2719.0,2626.0,3550.0,3487.0,3704.0,3429.0,3491.0,2829.0,3068.0,3834.0,3939.0,3821.0,4744.0,3558.0,2666.0,3081.0,3784.0,4017.0,4215.0,4204.0,3583.0,3060.0
~ crisis,694.0,1206.0,1232.0,1314.0,2023.0,2032.0,1497.0,1416.0,2297.0,2228.0,2615.0,2804.0,2893.0,1981.0,2245.0,3064.0,3184.0,3365.0,3091.0,2814.0,1928.0,2215.0,2904.0,3285.0,3613.0,3775.0,3213.0,2661.0,2136.0,3787.0,3736.0,3685.0,3871.0,3240.0,2202.0
true href,1913.0,2526.0,2586.0,2754.0,2734.0,2798.0,2190.0,2123.0,2864.0,2791.0,2950.0,2850.0,3039.0,2668.0,2580.0,3461.0,3414.0,3634.0,3362.0,3411.0,2781.0,3013.0,3776.0,3853.0,3748.0,4672.0,3475.0,2619.0,3011.0,3722.0,3949.0,4131.0,4131.0,3511.0,2984.0
~ fight,2406.0,1842.0,2130.0,2065.0,3127.0,3259.0,3229.0,3012.0,3268.0,2725.0,3129.0,2613.0,3084.0,2672.0,3055.0,2685.0,2879.0,2636.0,2224.0,2260.0,1914.0,1967.0,2303.0,3366.0,2137.0,2389.0,1929.0,2563.0,2141.0,1826.0,2049.0,1855.0,2648.0,2910.0,1801.0
~ new,1026.0,1426.0,1518.0,1366.0,1854.0,1774.0,1626.0,1601.0,1831.0,1622.0,1750.0,1573.0,1730.0,1929.0,2339.0,2277.0,2218.0,1980.0,1911.0,1955.0,2331.0,2297.0,2939.0,2349.0,1970.0,2256.0,2163.0,2508.0,2262.0,2381.0,2596.0,2153.0,2324.0,2167.0,2266.0
bbc news,912.0,1124.0,1309.0,1584.0,1680.0,1774.0,1425.0,1350.0,1551.0,1678.0,1873.0,1706.0,1972.0,2016.0,3046.0,3123.0,2391.0,2399.0,2652.0,2597.0,2536.0,3153.0,2438.0,2771.0,2500.0,3137.0,2579.0,2428.0,2134.0,2405.0,2460.0,2576.0,2483.0,3361.0,3187.0
~,618.0,403.0,361.0,393.0,788.0,796.0,1839.0,2635.0,2549.0,896.0,809.0,740.0,1027.0,845.0,2903.0,2433.0,1675.0,854.0,900.0,851.0,1067.0,1697.0,1628.0,1149.0,1336.0,2576.0,2674.0,2371.0,1379.0,1084.0,877.0,1003.0,1709.0,2315.0,2454.0
nofollow twitter,1703.0,2197.0,2211.0,2354.0,2386.0,2471.0,1942.0,1908.0,2486.0,2429.0,2578.0,2457.0,2653.0,2400.0,2323.0,2969.0,2968.0,3143.0,2908.0,2877.0,2456.0,2657.0,3251.0,3341.0,3252.0,4055.0,3038.0,2302.0,2640.0,3175.0,3328.0,3559.0,3514.0,2977.0,2627.0
test positive,2439.0,1832.0,1699.0,2772.0,2456.0,4883.0,2797.0,2330.0,2482.0,2995.0,2516.0,2312.0,2163.0,2576.0,3035.0,3101.0,2202.0,2088.0,1938.0,2240.0,2133.0,2167.0,2575.0,2392.0,2414.0,2866.0,2172.0,2256.0,1809.0,2024.0,2374.0,2316.0,2542.0,1806.0,2024.0
dies ~,1891.0,2948.0,3080.0,2747.0,3668.0,3269.0,2416.0,2499.0,3540.0,3372.0,4156.0,3606.0,3141.0,2392.0,2332.0,3250.0,2967.0,3454.0,3182.0,2640.0,2286.0,2509.0,3186.0,3170.0,3280.0,3157.0,3095.0,2236.0,2403.0,3126.0,3968.0,3228.0,3044.0,2614.0,2100.0
~ via,1777.0,1919.0,1979.0,2200.0,2850.0,2913.0,2499.0,2587.0,2691.0,2672.0,2997.0,2822.0,2742.0,2557.0,2649.0,3161.0,2491.0,2820.0,2500.0,2800.0,2403.0,3245.0,3178.0,2811.0,2582.0,2614.0,2269.0,2151.0,2434.0,2205.0,2501.0,2765.0,3024.0,2597.0,2341.0
~ new,907.0,1327.0,1424.0,1477.0,1652.0,1860.0,1530.0,1382.0,1719.0,1941.0,1991.0,1766.0,1939.0,2031.0,2824.0,2735.0,2454.0,2355.0,2360.0,2342.0,2307.0,2418.0,2275.0,2560.0,2318.0,2791.0,2289.0,2050.0,1942.0,2149.0,2458.0,2548.0,2425.0,3215.0,2957.0
da ~,850.0,1348.0,1324.0,1297.0,2029.0,1894.0,1314.0,1347.0,1992.0,1914.0,2247.0,1856.0,2077.0,1641.0,1460.0,2096.0,2177.0,2405.0,2057.0,2174.0,1840.0,1835.0,2524.0,2637.0,2557.0,2633.0,2462.0,2046.0,1847.0,2824.0,3119.0,2823.0,2773.0,2276.0,2045.0
deaths,,210.0,,280.0,605.0,615.0,551.0,698.0,879.0,790.0,855.0,791.0,793.0,872.0,1157.0,1060.0,1817.0,1991.0,1550.0,1625.0,2182.0,1827.0,1703.0,1766.0,1488.0,1781.0,1871.0,2038.0,1657.0,1944.0,1905.0,1965.0,1575.0,1379.0,1638.0
confirmed ~,1093.0,1280.0,1256.0,1268.0,2567.0,2518.0,2198.0,1877.0,1705.0,1943.0,1909.0,2015.0,1628.0,1956.0,1866.0,1774.0,1802.0,1985.0,1668.0,1930.0,1873.0,2070.0,2413.0,2110.0,2287.0,2151.0,1897.0,1989.0,2327.0,2299.0,2311.0,2226.0,2085.0,1888.0,2249.0
~ death,1089.0,896.0,816.0,1075.0,1096.0,956.0,1528.0,1746.0,1667.0,1830.0,1588.0,1299.0,1079.0,1825.0,2279.0,1762.0,2168.0,2137.0,1482.0,2017.0,2247.0,2302.0,1947.0,2147.0,1829.0,2024.0,2902.0,1976.0,2072.0,1507.0,1327.0,2895.0,1581.0,2131.0,2561.0
~ patient,413.0,387.0,533.0,578.0,1260.0,1225.0,1353.0,1314.0,1716.0,1303.0,1540.0,1642.0,1859.0,1960.0,2150.0,2609.0,2229.0,2119.0,2041.0,2236.0,2433.0,2370.0,2382.0,2586.0,2212.0,2581.0,2620.0,1924.0,1635.0,1969.0,2139.0,2608.0,3428.0,2787.0,3754.0
home special,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.0,415.0,,,,,,
gon na,1786.0,1938.0,1889.0,1724.0,2098.0,2221.0,1964.0,2079.0,2102.0,2107.0,2289.0,2078.0,2194.0,2033.0,2035.0,1814.0,1959.0,1836.0,1675.0,1780.0,1640.0,1511.0,1762.0,1881.0,1766.0,2097.0,1857.0,1898.0,1871.0,1959.0,2069.0,2106.0,2075.0,1999.0,1800.0
at home,409.0,731.0,735.0,654.0,638.0,765.0,564.0,391.0,1135.0,859.0,1376.0,1232.0,1317.0,981.0,879.0,914.0,812.0,852.0,736.0,888.0,605.0,860.0,1154.0,1156.0,1142.0,1777.0,1678.0,1872.0,1591.0,1908.0,2558.0,1703.0,1328.0,990.0,1234.0
~ president,1183.0,1125.0,1309.0,1165.0,1606.0,1799.0,1411.0,2053.0,1709.0,1476.0,1575.0,1580.0,1402.0,1656.0,1761.0,2024.0,1940.0,1788.0,1368.0,1511.0,1090.0,1480.0,2456.0,2811.0,2592.0,2186.0,1810.0,1828.0,2146.0,2270.0,2329.0,2057.0,2423.0,3627.0,1898.0
~ fight,562.0,743.0,806.0,886.0,1319.0,1415.0,1599.0,1430.0,1631.0,1461.0,1675.0,1565.0,1808.0,1780.0,2134.0,1941.0,2210.0,2169.0,1953.0,1729.0,1528.0,1706.0,1856.0,2442.0,2018.0,2043.0,1733.0,1821.0,1553.0,2851.0,1741.0,1796.0,1971.0,1705.0,1575.0
stayhome staysafe,1632.0,1983.0,1908.0,1732.0,2825.0,3011.0,2614.0,2275.0,2541.0,2412.0,2360.0,2120.0,3186.0,2619.0,1956.0,2181.0,2295.0,2028.0,1981.0,2166.0,1910.0,2348.0,2167.0,2154.0,1846.0,2026.0,1882.0,1805.0,1747.0,2035.0,1788.0,1881.0,1942.0,1719.0,1752.0
task force,808.0,886.0,881.0,760.0,1111.0,1099.0,739.0,1355.0,1227.0,1645.0,1805.0,1724.0,1729.0,1802.0,1799.0,1858.0,1793.0,1677.0,2094.0,2408.0,1379.0,1311.0,2860.0,2208.0,1902.0,2375.0,2117.0,1799.0,2141.0,2202.0,2206.0,2350.0,2800.0,1877.0,1366.0
~ fight,734.0,542.0,708.0,689.0,1208.0,1368.0,1440.0,1261.0,1409.0,1474.0,1258.0,1606.0,2314.0,1930.0,2062.0,2509.0,2593.0,2097.0,2083.0,2044.0,1996.0,2300.0,2198.0,3289.0,2170.0,2089.0,1624.0,1788.0,1959.0,1724.0,1568.0,1709.0,2022.0,1899.0,1329.0
united states,805.0,847.0,895.0,920.0,2218.0,1985.0,1917.0,2319.0,1597.0,1508.0,1634.0,1534.0,1623.0,1921.0,1954.0,1694.0,1710.0,1600.0,1547.0,1833.0,2250.0,2000.0,2338.0,2187.0,1934.0,1801.0,1637.0,1733.0,2128.0,2300.0,2387.0,2049.0,2375.0,2473.0,1831.0
gt gt,1001.0,798.0,968.0,795.0,1522.0,1232.0,1107.0,946.0,1321.0,1371.0,2459.0,1314.0,1563.0,1460.0,1243.0,1634.0,1927.0,1800.0,2329.0,1582.0,1525.0,1515.0,1743.0,1858.0,1673.0,1769.0,1716.0,1692.0,1286.0,2441.0,2541.0,2020.0,1859.0,1600.0,1488.0
stay at,336.0,607.0,570.0,447.0,473.0,591.0,428.0,298.0,917.0,672.0,1207.0,1032.0,1147.0,791.0,743.0,736.0,614.0,596.0,536.0,721.0,443.0,453.0,929.0,974.0,958.0,1594.0,1498.0,1676.0,1464.0,1713.0,1257.0,1117.0,1080.0,710.0,929.0
novel ~,913.0,984.0,875.0,934.0,1458.0,1563.0,1602.0,1647.0,1488.0,1511.0,1469.0,1488.0,1586.0,1603.0,1565.0,1701.0,1732.0,1704.0,1658.0,1659.0,1463.0,1649.0,1902.0,1913.0,1903.0,1776.0,1543.0,1669.0,1496.0,1736.0,1688.0,1928.0,1671.0,1493.0,1462.0
care workers,572.0,553.0,533.0,622.0,1361.0,1298.0,972.0,1106.0,1278.0,1146.0,1032.0,1183.0,1161.0,969.0,1028.0,1189.0,2166.0,1099.0,1240.0,1099.0,926.0,962.0,1300.0,1144.0,1127.0,1281.0,1215.0,1658.0,1116.0,1358.0,1193.0,1188.0,1164.0,899.0,709.0
cases,557.0,644.0,766.0,740.0,1452.0,1402.0,1187.0,1066.0,1107.0,1160.0,1263.0,1239.0,1157.0,1234.0,1121.0,1187.0,1218.0,1320.0,1186.0,1280.0,1303.0,1434.0,1598.0,1590.0,1585.0,1594.0,1555.0,1633.0,1578.0,1891.0,1689.0,1612.0,1460.0,1448.0,1856.0
~ spread,2327.0,2113.0,1372.0,1287.0,2130.0,2363.0,1639.0,1636.0,2044.0,1886.0,2015.0,2288.0,2192.0,1838.0,1670.0,1963.0,1857.0,2049.0,2072.0,2145.0,1823.0,1794.0,1809.0,2328.0,2278.0,1816.0,1693.0,1627.0,1681.0,1781.0,1861.0,2232.0,1880.0,1409.0,1474.0
