Date,Sum
03-22,506778.0
03-23,539722.0
03-24,538587.0
03-25,558788.0
03-26,755075.0
03-27,811691.0
03-28,696556.0
03-29,714655.0
03-30,801554.0
03-31,862495.0
04-01,794699.0
04-02,803573.0
04-03,794307.0
04-04,872508.0
04-05,871569.0
04-06,869692.0
04-07,892996.0
04-08,856867.0
04-09,1038056.0
04-10,863548.0
04-11,780058.0
04-12,1008479.0
04-13,1180183.0
04-14,1108430.0
04-15,1010159.0
04-16,1099523.0
04-17,901058.0
04-18,839732.0
04-19,1003105.0
04-20,958212.0
04-21,1166869.0
04-22,1501577.0
04-23,997988.0
04-24,966800.0
04-25,913972.0
