City/ Location,State,What was the event?,Who made the decision? (Name & title),Category,Date of event,Link to sources or more information ,Additional link,Additional link,"Your name & email or twitter handle to contact (optional, will be viewable by the public)",
19 counties,PA,"Stay at home orders imposed in the following counties-Allegheny, Berks, Bucks, Butler, Chester, Delaware, Erie, Lackawanna, Lancaster, Lehigh, Luzerne, Monroe, Montgomery, Northampton, Philadelphia, Pike, Wayne, Westmoreland and York counties.-",Governor Wolf,Quarantines and forced closures,3/27/2020,https://www.co.berks.pa.us/Dept/DES/Pages/COVID-19-Berks-Stay-at-Home.aspx,  ,,,
Aberdeen,SD,COVID-19 Emergency Ordinance No. 1 that restricts many public gatherings of 10 or more people,"Travis Schaunaman, Mayor and the Aberdeen City Council",Quarantines and forced closures,2/4/2020,https://www.aberdeen.sd.us/1162/COVID-19-Updates-Information,,,,
Aberdeen,SD,"COVID-19 Emergency Ordinance No. 2: closure of on-site patronage of bars, restaurants (allow curb-side pickup) + fitness centers/movie and music venues/tobacco shops/beauty parlors may not offer on-site services","Travis Schaunaman, Mayor and the Aberdeen City Council",Quarantines and forced closures,4/7/2020,https://www.aberdeen.sd.us/DocumentCenter/View/9413/COVID-19-Emergency-Ordinance-2-Adopted-4-7-2020,,,,
Aberdeen,SD,COVID-19 Emergency Ordinance No. 3: COVID-19 Emergency Ordinance No. 2 repealed and replaced with identical measures. In place for 60 days,"Travis Schaunaman, Mayor and the Aberdeen City Council",Quarantines and forced closures,4/13/2020,https://www.aberdeen.sd.us/DocumentCenter/View/9519/COVID-19-Emergency-Ordinance-No-3,,,,
Aberdeen,NC,"At this time, all advisory board and committee meetings have been cancelled through May 11th.",Mayor Farrell,Elected/public officials,4/15/2020,https://townofaberdeen.net/pview.aspx?id=20689&catID=25,,,gwilly56@mac.com,
Aberdeen,NC,"Mayor Farrell has issued a  Declaration of a State of Emergency for the Town of Aberdeen effective March 30, 2020 at 5:00 p.m. and will remain in effect until modified or rescinded.",Mayor Farrell,Quarantines and forced closures,3/30/2020,https://www.townofaberdeen.net/newsview.aspx?nid=5983,,,gwilly56@mac.com,
Ackley,IA,"City Hall will be closed for the next 4 weeks.
The library will be closed for the next 4 weeks.
We are asking that everyone stay away from gatherings of 10-20 people or more.",Mayor Pat Daggs,Quarantines and forced closures,3/16/2020,https://www.ackleyiowa.net/post/2020/03/16/covid-19-virus,,,,
Adel,IA,"A temporary burn ban is now in effect within the City limits. The ban, which other cities and at least seven states have enacted, is in place to limit the diversion of first responder resources and may provide some relief to residents experiencing respiratory issues.",State Fire Marshall Dan Wood,Not sure,4/8/2020,https://adeliowa.org/wp-content/uploads/2020/04/City-of-Adel-04-09-20.pdf,,https://adeliowa.org/wp-content/uploads/2020/04/Burn-Ban-Iowa-Code.pdf,,
Adel,IA,"Effective immediately, City of Adel playground equipment and shelter
houses are closed until further notice.","Nick Schenck, Park and Rec. Director, ",Quarantines and forced closures,4/14/2020,https://adeliowa.org/wp-content/uploads/2020/03/Adel-Park-Closures-Covid-19.pdf,,,,
Ahoskie,NC,Mayor letter regarding Covid 19 precautions; incldes resources,Mayor Weyling J. White,Not sure,3/18/2020,https://www.ahoskienc.gov/news/article/march/18/2020/coronavirus-covid_19-message,,,gwilly56@mac.com,
Albuquerque,NM,"Indoor cultural facilities including the Albuquerque Museum, BioPark, Explora, Balloon Museum, Casa San Ysidro, are closed through May 15.",,Quarantines and forced closures,3/17/2020,https://www.cabq.gov/coronavirus-information/coronavirus-impacts-on-city-services,,,,
Albuquerque,,"$500,000 Micro-Business Relief Program March 30th to help small businesses financially impacted by COVID-19.",Mayor Tim Keller and the city's Economic Development Department,,3/30/2020,,,,,
Albuquerque,NM,Albuguerque public schools begin distributing Chromebooks to families of students in need,,Schools,4/9/2020,,,,,
Albuquerque,NM,U.S. District Courthouse in Albuquerque closed for cleaning,Unclear,Courts,4/17/2020,https://www.abqjournal.com/1444606/coronavirus-updates-april-17.html,,,,
Alta,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Amidon,ND,Drive-through testing pilot program announced and executed,Gov. Doug Burgum,Not sure,4/3/2020,https://ndresponse.gov/news/burgum-announces-pilot-project-expand-covid-19-testing-and-improve-tracing-slow-spread-virus,,,,
Andover,CT,"Town's contact info for help for most vulnerable, including elderly, underlying medical conditions, etc.",posted on Town of Andover website - no name listed,Not sure,3/19/2020,http://www.andoverconnecticut.org/wp-content/uploads/2020/03/Updates-from-the-Town-of-Andover-on-COVID-19-3.19.20-2.pdf,http://www.andoverconnecticut.org/,"Andover Senior/Social Service Department. Please call Roberta Dougherty at 860-742-4035 Extension 215. If you cannot get through to Roberta, contact the Town Clerk's office at 860-742-4035 Extension 212 and leave a message. If you are experiencing a medical emergency please dial 911.",,
Andover,CT,Emergency/seniors' food delivery contact info,Town of Andover - no name,Not sure,3/19/2020,http://www.andoverconnecticut.org/wp-content/uploads/2020/03/Updates-from-the-Town-of-Andover-on-COVID-19-3.19.20-2.pdf,"CERT (Civilian Emergency Response Team) will be available for emergency food deliveries, please call Roberta 860-742-4035 Extension 215",There is also info for volunteers ages 21-55 to deliver food,,
Andover,CT,Update on Town government functions,Town of Andover - no name,Elected/public officials,3/19/2020,http://www.andoverconnecticut.org/wp-content/uploads/2020/03/Updates-from-the-Town-of-Andover-on-COVID-19-3.19.20-2.pdf,,,,
Andover,CT,Andover Elementary School Information and Cancellations,Town of Andover - no name,Schools,3/19/2020,http://www.andoverconnecticut.org/wp-content/uploads/2020/03/Updates-from-the-Town-of-Andover-on-COVID-19-3.19.20-2.pdf,Andover Library is closed to the public until further notice. Be sure to check their Facebook page for online programs they are offering,,,
Andrews,NC,"The Mayor of Andrews, North Carolina has announced he is putting up roadblocks to keep visitors away. The Mayor says he is trying to keep out people from other areas that are driving in to seek refuge from the coronavirus",Mayor James Reid,Quarantines and forced closures,3/31/2020,https://wdef.com/2020/03/31/andrews-nc-mayor-shutting-roads-keep-visitors-town/,,,gwilly56@mac.com,
Annapolis,MD,$175 million small business coronavirus relief program announced,Governor Larry Hogan,Not sure,3/23/2020,https://www.baltimoresun.com/maryland/baltimore-city/bs-md-small-business-aid-hogan-20200323-okmhvh75ojdwdo74uztawsd4le-story.html,,,INT,
Apex,NC,"All town buildings, including the Apex Community Center and Halle Cultural Arts Center, are closed to the general public through April 30th. Under the updated order, all retail businesses in the county, its 12 municipalities (Apex; Cary; Fuquay-Varina; Garner; Holly Springs; Knightdale; Morrisville; Raleigh; Rolesville; Wake Forest; Wendell; and Zebulon), and portions of Angier, Clayton and Durham located within Wake County, are allowed to operate if they provide delivery or curbside pickup options for customers.","Gregory Ford, Wake County Board of Commisioners",Quarantines and forced closures,4/15/2020,https://covid19.wakegov.com/wp-content/uploads/2020/04/First-Amendment-to-Proclamation-of-Emergency-Restrictions.pdf,,,giblet56@mac.com,
Apex,NC,Stay at Home policy,"Roy Cooper, Wake County Board of Supervisors",Quarantines and forced closures,4/9/2020,https://covid19.wakegov.com/wake-county-extends-stay-at-home-order-to-protect-residents-from-covid-19/,https://files.nc.gov/governor/documents/files/EO131-Retail-Long-Term-Care-Unemployment-Insurance.pdf,,gwilly56@mac.com,
Apex,NC,Stay at Home policy Extended,"Roy Cooper, Wake County Board of Supervisors",Quarantines and forced closures,4/15/2020,https://covid19.wakegov.com/wake-county-extends-stay-at-home-order-to-protect-residents-from-covid-19/,,,gwilly56@mac.com,
Arlington County,VA,"Arlington County and Arlington Public School Parks, Fields and Playgrounds closed",Gov. Ralph Northam,Quarantines and forced closures,3/30/2020,https://parks.arlingtonva.us/2020/03/parks-recreation-working-to-keep-people-healthy-and-safe/,,,,
Asbury,IA,"City officials have closed City Hall to all visitors. Residents can leave utility payments and other correspondence in the drop box and contact the city via email and phone for other business, Adams wrote.",Mayor Jim Adams,Elected/public officials,3/28/2020,https://www.telegraphherald.com/coronavirus/article_1f8a6d18-a45e-5f69-9320-9ba94d2ac595.html,,,,
Asbury Park ,NJ,Boardwalk closed,Mayor John Moore,Quarantines and forced closures,4/1/2020,https://www.cityofasburypark.com/AlertCenter.aspx?AID=27,,,,
Asbury Park ,NJ,Short term rentals prohibited,Mayor John Moore,Quarantines and forced closures,,https://www.cityofasburypark.com/AlertCenter.aspx?AID=29,,,,
Atlanta,GA,refrain from taking any action which would result in the termination of water services,Mayor Keisha Bottoms,Not sure,3/11/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,telework deployment for all non-essential employees,Mayor Keisha Bottoms,Quarantines and forced closures,3/12/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
