ISO,ADMIN_LEVEL_NAME,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,ENTRY_DATE
USA,,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,Not applicable,14/03/2020,US Government ,Government,15/03/2020
USA,,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,Yes,Not applicable,14/03/2020,US Government ,Government,15/03/2020
USA,,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,No,Not applicable,13/03/2020,US State Department,Government,15/03/2020
USA,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,No,Not applicable,15/03/2020,,,15/03/2020
USA,,Introduction / extension of measures,Public health measures,General recommendations,No,,16/03/2020,White House,Government,17/03/2020
USA,,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,No,,31/01/2020,US State Deparment,Government,17/03/2020
USA,,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,02/03/2020,CDC,Government,26/03/2020
USA,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,Not applicable,18/03/2020,USAID,Government,26/03/2020
USA,,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,Not applicable,21/01/2020,CDC,Government,26/03/2020
USA,,Introduction / extension of measures,Public health measures,Awareness campaigns,Yes,Not applicable,28/02/2020,CDC,Government,26/03/2020
USA,,Introduction / extension of measures,Public health measures,General recommendations,No,Not applicable,17/03/2020,CDC,Government,26/03/2020
USA,,Introduction / extension of measures,Public health measures,Testing policy,Yes,Not applicable,08/03/2020,CDC,Government,26/03/2020
USA,,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,22/01/2020,CDC,Government,26/03/2020
USA,,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,04/02/2020,CDC,Government,26/03/2020
USA,,Introduction / extension of measures,Public health measures,Awareness campaigns,Yes,Not applicable,,CDC,Government,26/03/2020
USA,,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,06/03/2020,CDC,Government,26/03/2020
USA,,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,Not applicable,15/02/2020,Dept. of State,Government,26/03/2020
USA,,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,Not applicable,27/02/2020,White House,Government,26/03/2020
USA,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,Not applicable,02/03/2020,USAID,Government,26/03/2020
USA,,Introduction / extension of measures,Social distancing,Limit public gatherings,Yes,Not applicable,11/03/2020,Dept. of State,Government,26/03/2020
USA,,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,Refusal to enter the country,31/01/2020,White House,Government,26/03/2020
USA,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,Not applicable,11/03/2020,White House,Government,26/03/2020
USA,,Introduction / extension of measures,Social distancing,Schools closure ,Yes,Not applicable,13/03/2020,Dept. of State,Government,26/03/2020
USA,,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,No,Not applicable,01/03/2020,White House,Government,26/03/2020
