Date,Sears Holdings Corporation,Costco,Walmart,Big 5 Sporting Goods Corporation,Macy
2019-11-26,0.21,301.23999,119.190002,2.78,15.37
2019-11-27,0.21,300.76001,118.760002,2.69,15.48
2019-11-29,0.21,299.809998,119.089996,2.7,15.32
2019-12-02,0.22,297.390015,119.279999,2.58,15.4
2019-12-03,0.21,295.670013,118.66999799999999,2.55,14.87
2019-12-04,0.19,296.519989,118.690002,2.59,14.84
2019-12-05,0.18,293.100006,118.660004,2.61,15.11
2019-12-06,0.18,294.950012,119.779999,2.67,15.15
2019-12-09,0.19,295.160004,119.360001,2.81,15.48
2019-12-10,0.2,295.77999900000003,119.139999,3.08,15.74
2019-12-11,0.2,295.299988,119.0,3.0,15.7
2019-12-12,0.2,297.339996,119.760002,2.93,15.71
2019-12-13,0.19,291.869995,120.290001,2.88,15.18
2019-12-16,0.18,293.5,120.540001,2.85,15.63
2019-12-17,0.19,295.549988,121.279999,2.8,16.030001000000002
2019-12-18,0.2,291.869995,119.860001,2.87,16.530001000000002
2019-12-19,0.19,293.709991,120.08000200000001,2.96,16.08
2019-12-20,0.19,294.829987,120.290001,2.98,16.200001
2019-12-23,0.19,293.309998,119.029999,3.0,16.200001
2019-12-24,0.19,294.230011,119.510002,3.0,16.120001000000002
2019-12-26,0.18,295.730011,119.519997,3.01,16.540001
2019-12-27,0.18,294.109985,119.589996,3.02,16.51
2019-12-30,0.17,295.140015,119.400002,2.97,16.77
2019-12-31,0.17,293.920013,118.839996,3.0,17.0
2020-01-02,0.19,291.48999,118.940002,3.03,16.52
2020-01-03,0.2,291.730011,117.889999,3.03,16.530001000000002
2020-01-06,0.19,291.809998,117.650002,3.23,17.1
2020-01-07,0.19,291.350006,116.559998,3.14,17.67
2020-01-08,0.19,294.690002,116.160004,3.18,18.1
2020-01-09,0.19,299.420013,117.360001,3.16,17.709999
2020-01-10,0.19,297.23999,116.379997,3.12,17.809998999999998
2020-01-13,0.19,299.869995,115.879997,3.1,17.879998999999998
2020-01-14,0.2,299.75,116.18,4.06,17.860001
2020-01-15,0.19,300.820007,115.279999,3.93,17.42
