,,,,,,,,,,,
,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
01/02/2016,"405,368",148.4,"273,000","269,250","2,803,326",126.4,"2,218,000","2,197,750",2.1,1.6,"136,270,223"
01/09/2016,"502,904",177.3,"284,000","273,250","2,680,476",122.4,"2,190,000","2,197,750",2,1.6,"136,270,223"
01/16/2016,"378,747",130.8,"290,000","280,750","2,656,738",119.6,"2,221,000","2,209,000",1.9,1.6,"136,270,223"
01/23/2016,"295,936",110.2,"269,000","279,000","2,688,858",122.3,"2,199,000","2,207,000",2,1.6,"136,270,223"
01/30/2016,"311,940",110.9,"281,000","281,000","2,680,598",122.1,"2,195,000","2,201,250",2,1.6,"136,270,223"
02/06/2016,"290,796",109.6,"265,000","276,250","2,657,981",120.8,"2,200,000","2,203,750",2,1.6,"136,270,223"
02/13/2016,"258,380",98.3,"263,000","269,500","2,612,427",118.6,"2,203,000","2,199,250",1.9,1.6,"136,270,223"
02/20/2016,"248,870",91.5,"272,000","270,250","2,670,398",122.6,"2,178,000","2,194,000",2,1.6,"136,270,223"
02/27/2016,"265,802",98.8,"269,000","267,250","2,600,820",119.8,"2,171,000","2,188,000",1.9,1.6,"136,270,223"
03/05/2016,"247,628",96.5,"257,000","265,250","2,548,304",116.6,"2,186,000","2,184,500",1.9,1.6,"136,270,223"
03/12/2016,"236,888",90.2,"263,000","265,250","2,492,144",115.2,"2,163,000","2,174,500",1.8,1.6,"136,270,223"
03/19/2016,"230,882",87.3,"264,000","263,250","2,409,099",112.2,"2,147,000","2,166,750",1.8,1.6,"136,270,223"
03/26/2016,"235,716",86.3,"273,000","264,250","2,375,518",109.5,"2,169,000","2,166,250",1.7,1.6,"136,270,223"
04/02/2016,"245,035",90.1,"272,000","268,000","2,280,430",105.7,"2,157,000","2,159,000",1.7,1.6,"136,969,042"
04/09/2016,"270,419",102.9,"263,000","268,000","2,211,972",103.1,"2,145,000","2,154,500",1.6,1.6,"136,969,042"
04/16/2016,"242,400",95,"255,000","265,750","2,154,608",100.7,"2,140,000","2,152,750",1.6,1.6,"136,969,042"
04/23/2016,"245,040",94.5,"259,000","262,250","2,094,406",97.6,"2,146,000","2,147,000",1.5,1.6,"136,969,042"
04/30/2016,"243,392",87.8,"277,000","263,500","2,080,555",95.1,"2,188,000","2,154,750",1.5,1.6,"136,969,042"
05/07/2016,"261,899",90.4,"290,000","270,250","2,014,816",92,"2,190,000","2,166,000",1.5,1.6,"136,969,042"
05/14/2016,"244,869",87.9,"279,000","276,250","2,009,243",92,"2,184,000","2,177,000",1.5,1.6,"136,969,042"
05/21/2016,"240,798",90,"268,000","278,500","1,975,916",90.2,"2,191,000","2,188,250",1.4,1.6,"136,969,042"
05/28/2016,"246,740",93.4,"264,000","275,250","1,939,391",90.7,"2,138,000","2,175,750",1.4,1.6,"136,969,042"
06/04/2016,"232,300",87.7,"265,000","269,000","1,982,999",91.3,"2,172,000","2,171,250",1.4,1.6,"136,969,042"
06/11/2016,"266,277",97.5,"273,000","267,500","1,994,248",92.1,"2,165,000","2,166,500",1.5,1.6,"136,969,042"
06/18/2016,"247,968",95,"261,000","265,750","2,009,079",92.7,"2,167,000","2,160,500",1.5,1.6,"136,969,042"
06/25/2016,"263,662",100.5,"262,000","265,250","2,044,616",95.9,"2,132,000","2,159,000",1.5,1.6,"136,969,042"
07/02/2016,"267,437",104.5,"256,000","263,000","2,037,038",95,"2,144,000","2,152,000",1.5,1.6,"137,652,280"
07/09/2016,"298,673",116.2,"257,000","259,000","2,161,272",101.3,"2,134,000","2,144,250",1.6,1.6,"137,652,280"
07/16/2016,"268,526",103.2,"260,000","258,750","2,143,920",100,"2,144,000","2,138,500",1.6,1.6,"137,652,280"
07/23/2016,"231,925",87.7,"264,000","259,250","2,104,590",98.5,"2,137,000","2,139,750",1.5,1.6,"137,652,280"
07/30/2016,"219,202",82.3,"266,000","261,750","2,110,850",98.3,"2,147,000","2,140,500",1.5,1.6,"137,652,280"
08/06/2016,"231,542",87.1,"266,000","264,000","2,083,250",96.5,"2,159,000","2,146,750",1.5,1.6,"137,652,280"
08/13/2016,"219,570",83,"265,000","265,250","2,061,744",96.3,"2,141,000","2,146,000",1.5,1.6,"137,652,280"
08/20/2016,"217,011",82,"265,000","265,500","2,021,172",93.9,"2,152,000","2,149,750",1.5,1.6,"137,652,280"
08/27/2016,"215,688",82.3,"262,000","264,500","1,972,966",92.2,"2,140,000","2,148,000",1.4,1.6,"137,652,280"
09/03/2016,"217,715",84.7,"257,000","262,250","1,867,279",86.7,"2,154,000","2,146,750",1.4,1.6,"137,652,280"
09/10/2016,"193,291",76.3,"253,000","259,250","1,835,919",86.9,"2,113,000","2,139,750",1.3,1.5,"137,652,280"
09/17/2016,"205,649",81.7,"252,000","256,000","1,756,097",83.6,"2,101,000","2,127,000",1.3,1.5,"137,652,280"
09/24/2016,"198,455",80.2,"247,000","252,250","1,744,083",83.6,"2,086,000","2,113,500",1.3,1.5,"137,652,280"
10/01/2016,"200,456",81.5,"246,000","249,500","1,709,974",82.1,"2,083,000","2,095,750",1.2,1.5,"138,322,138"
10/08/2016,"238,581",95.2,"251,000","249,000","1,706,702",81.8,"2,086,000","2,089,000",1.2,1.5,"138,322,138"
10/15/2016,"233,633",88.6,"264,000","252,000","1,739,879",84,"2,071,000","2,081,500",1.3,1.5,"138,322,138"
10/22/2016,"237,314",92.2,"257,000","254,500","1,741,961",84.1,"2,071,000","2,077,750",1.3,1.5,"138,322,138"
10/29/2016,"245,751",92.7,"265,000","259,250","1,763,155",85.4,"2,065,000","2,073,250",1.3,1.5,"138,322,138"
11/05/2016,"258,608",103,"251,000","259,250","1,740,791",85.9,"2,027,000","2,058,500",1.3,1.5,"138,322,138"
11/12/2016,"223,770",96.4,"232,000","251,250","1,857,234",90.3,"2,057,000","2,055,000",1.3,1.5,"138,322,138"
11/19/2016,"287,794",116.1,"248,000","249,000","1,746,231",84.3,"2,071,000","2,055,000",1.3,1.5,"138,322,138"
11/26/2016,"249,774",96.2,"260,000","247,750","2,070,694",101.6,"2,038,000","2,048,250",1.5,1.5,"138,322,138"
12/03/2016,"351,580",139.4,"252,000","248,000","1,996,669",98.4,"2,029,000","2,048,750",1.4,1.5,"138,322,138"
12/10/2016,"305,268",121.4,"251,000","252,750","2,097,013",103.2,"2,032,000","2,042,500",1.5,1.5,"138,322,138"
12/17/2016,"315,068",120.2,"262,000","256,250","2,117,870",102.1,"2,074,000","2,043,250",1.5,1.5,"138,322,138"
12/24/2016,"343,213",135.1,"254,000","254,750","2,253,543",108,"2,087,000","2,055,500",1.6,1.5,"138,322,138"
12/31/2016,"350,561",148.6,"236,000","250,750","2,467,654",119.8,"2,060,000","2,063,250",1.8,1.5,"138,322,138"
01/07/2017,"414,742",170.3,"244,000","249,000","2,518,545",124.5,"2,023,000","2,061,000",1.8,1.5,"138,930,224"
01/14/2017,"352,799",143.7,"246,000","245,000","2,464,292",119.5,"2,062,000","2,058,000",1.8,1.5,"138,930,224"
01/21/2017,"284,030",110.9,"256,000","245,500","2,494,547",123.2,"2,025,000","2,042,500",1.8,1.5,"138,930,224"
01/28/2017,"280,983",116.6,"241,000","246,750","2,482,809",122,"2,035,000","2,036,250",1.8,1.5,"138,930,224"
02/04/2017,"259,713",110.1,"236,000","244,750","2,464,850",122.5,"2,012,000","2,033,500",1.8,1.4,"138,930,224"
02/11/2017,"245,886",101.4,"242,000","243,750","2,489,682",122.5,"2,032,000","2,026,000",1.8,1.5,"138,930,224"
02/18/2017,"239,322",96.8,"247,000","241,500","2,392,472",119.9,"1,995,000","2,018,500",1.7,1.4,"138,930,224"
02/25/2017,"212,829",91.7,"232,000","239,250","2,447,592",120.4,"2,033,000","2,018,000",1.8,1.5,"138,930,224"
