state,startDate,endDate
Alabama,April 4,April 30
Alaska,March 28,April 27
Arizona,March 31,May 15
Arkansas,None,None
California,March 19,TBD
Colorado,March 26,April 26
Connecticut,March 23,May 20
Delaware,March 24,May 15
Florida,April 2,May 4
Georgia,April 3,April 30
Hawaii,March 25,May 31
Idaho,March 25,April 30
Illinois,March 21,May 30
Indiana,March 24,May 1
Iowa,None,None
Kansas,March 30,May 3
Kentucky,March 26,TBD
Louisiana,March 23,May 15
Maine,April 2,May 31
Maryland,March 30,TBD
Massachusetts,March 24,May 18
Michigan,March 24,May 28
Minnesota,March 27,May 19
Mississippi,April 3,April 27
Missouri,April 6,May 3
Montana,March 28,April 26
Nebraska,None,None
Nevada,April 1,May 15
New Hampshire,March 27,May 31
New Jersey,March 21,TBD
New Mexico,March 24,May 15
New York,March 20,May 15
North Carolina,March 30,May 22
North Dakota,None,None
Ohio,March 23,May 29
Oklahoma,April 1,May 6
Oregon,March 23,TBD
Pennsylvania,April 1,June 4
Rhode Island,March 28,May 8
South Carolina,April 7,May 4
South Dakota,None,None
Tennessee,March 31,April 30
Texas,April 2,April 30
Utah,None,None
Vermont,March 24,May 15
Virginia,March 30,June 10
Washington,March 24,May 31
West Virginia,March 24,TBD
Wisconsin,March 25,May 26
Wyoming,None,None
