Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,48.750000,48.830002,48.680000,48.740002,48.740002,155200
2019-11-27,48.630001,48.820000,48.630001,48.799999,48.799999,103900
2019-11-29,48.500000,48.500000,48.250000,48.389999,48.389999,28300
2019-12-02,49.380001,50.799999,49.380001,50.040001,50.040001,391900
2019-12-03,50.549999,51.049999,50.540001,50.930000,50.930000,334500
2019-12-04,50.650002,51.060001,50.650002,50.730000,50.730000,229400
2019-12-05,50.299999,50.580002,49.990002,49.990002,49.990002,341200
2019-12-06,50.330002,50.580002,50.160000,50.549999,50.549999,87500
2019-12-09,51.689999,51.889999,51.639999,51.720001,51.720001,128200
2019-12-10,53.150002,53.240002,52.799999,52.950001,52.950001,500600
2019-12-11,52.700001,52.700001,52.330002,52.529999,52.529999,336600
2019-12-12,51.380001,52.040001,51.380001,51.880001,51.880001,236600
2019-12-13,51.259998,51.259998,50.849998,50.950001,50.950001,210900
2019-12-16,51.750000,52.419998,51.750000,52.310001,52.310001,587300
2019-12-17,52.200001,52.200001,51.810001,51.950001,51.950001,560900
2019-12-18,51.000000,51.000000,50.599998,50.930000,50.930000,121100
2019-12-19,50.230000,50.230000,49.650002,49.650002,49.650002,282500
2019-12-20,49.200001,49.500000,49.180000,49.480000,49.480000,263900
2019-12-23,49.540001,49.669998,49.400002,49.639999,49.639999,120200
2019-12-24,49.400002,49.669998,49.400002,49.549999,49.549999,63700
2019-12-26,49.450001,49.900002,49.450001,49.900002,49.900002,109700
2019-12-27,49.919998,50.119999,49.919998,50.000000,50.000000,234100
2019-12-30,49.930000,50.250000,49.700001,49.700001,49.700001,234100
2019-12-31,49.860001,49.930000,49.750000,49.900002,49.900002,109500
2020-01-02,50.680000,50.820000,50.450001,50.689999,50.689999,236100
2020-01-03,49.730000,50.500000,49.730000,50.250000,50.250000,101200
2020-01-06,49.400002,49.680000,49.119999,49.549999,49.549999,232500
2020-01-07,49.400002,49.509998,49.049999,49.160000,49.160000,219300
2020-01-08,49.099998,49.750000,48.900002,49.610001,49.610001,556600
2020-01-09,49.700001,49.740002,49.400002,49.540001,49.540001,519300
2020-01-10,49.549999,49.549999,49.270000,49.459999,49.459999,207200
2020-01-13,49.099998,49.599998,49.099998,49.599998,49.599998,127800
2020-01-14,48.900002,49.160000,48.900002,49.150002,49.150002,118800
2020-01-15,49.060001,49.150002,48.970001,49.009998,49.009998,87200
2020-01-16,49.000000,49.020000,48.759998,48.840000,48.840000,239900
2020-01-17,48.810001,48.810001,48.570000,48.669998,48.669998,298500
2020-01-21,49.000000,49.250000,48.849998,48.959999,48.959999,191700
2020-01-22,49.259998,49.259998,49.000000,49.049999,49.049999,98000
2020-01-23,49.250000,49.770000,49.250000,49.759998,49.759998,105200
2020-01-24,49.610001,49.959999,49.580002,49.730000,49.730000,189000
2020-01-27,48.080002,48.400002,48.080002,48.180000,48.180000,256800
2020-01-28,48.230000,48.990002,48.230000,48.950001,48.950001,185700
2020-01-29,48.889999,48.950001,48.689999,48.799999,48.799999,150400
2020-01-30,48.680000,48.790001,46.810001,47.349998,47.349998,474500
2020-01-31,46.660000,46.680000,45.750000,45.900002,45.900002,965200
2020-02-03,46.139999,46.139999,45.799999,45.820000,45.820000,445200
2020-02-04,46.099998,46.419998,46.020000,46.419998,46.419998,433200
2020-02-05,46.130001,46.400002,46.130001,46.400002,46.400002,485000
2020-02-06,46.299999,46.500000,46.259998,46.330002,46.330002,366800
2020-02-07,45.869999,46.380001,45.869999,46.029999,46.029999,504400
2020-02-10,46.029999,46.400002,46.029999,46.400002,46.400002,730700
2020-02-11,46.310001,46.830002,46.310001,46.779999,46.779999,180500
2020-02-12,46.099998,46.400002,46.099998,46.400002,46.400002,251600
2020-02-13,45.770000,46.029999,45.490002,45.700001,45.700001,175600
2020-02-14,45.150002,45.369999,45.099998,45.220001,45.220001,545700
2020-02-18,44.959999,45.220001,44.930000,44.990002,44.990002,382200
2020-02-19,45.299999,45.599998,45.299999,45.450001,45.450001,397800
2020-02-20,44.520000,45.209999,44.520000,44.830002,44.830002,174900
2020-02-21,44.150002,44.750000,44.150002,44.349998,44.349998,167000
2020-02-24,43.049999,43.630001,43.049999,43.169998,43.169998,243500
2020-02-25,43.820000,44.099998,43.270000,43.389999,43.389999,471600
2020-02-26,43.570000,44.230000,43.570000,43.849998,43.849998,240900
2020-02-27,43.099998,43.209999,42.500000,42.540001,42.540001,340500
2020-02-28,40.759998,42.029999,40.759998,41.980000,41.980000,777600
2020-03-02,42.009998,43.230000,42.009998,43.230000,43.230000,451900
2020-03-03,42.610001,43.139999,42.180000,42.540001,42.540001,207300
2020-03-04,43.160000,43.810001,43.160000,43.790001,43.790001,239500
2020-03-05,43.119999,43.950001,43.119999,43.759998,43.759998,413300
2020-03-06,43.020000,43.910000,43.020000,43.880001,43.880001,193700
2020-03-09,42.200001,43.049999,41.610001,42.400002,42.400002,451100
2020-03-10,43.080002,43.580002,42.330002,43.490002,43.490002,400300
2020-03-11,42.259998,42.500000,41.220001,41.529999,41.529999,240100
