Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,23.790001,23.940001,23.730000,23.870001,23.870001,1300000
2019-11-27,23.820000,24.309999,23.799999,24.240000,24.240000,1168700
2019-11-29,24.000000,24.309999,23.910000,24.290001,24.290001,598000
2019-12-02,24.010000,24.590000,23.990000,24.410000,24.410000,1926000
2019-12-03,24.200001,24.379999,24.160000,24.290001,24.290001,1529200
2019-12-04,24.170000,24.260000,24.080000,24.170000,24.170000,1092700
2019-12-05,24.240000,24.290001,24.080000,24.160000,24.160000,709400
2019-12-06,24.170000,24.240000,24.100000,24.139999,24.139999,690600
2019-12-09,24.160000,24.160000,23.959999,24.000000,24.000000,309200
2019-12-10,23.980000,24.200001,23.930000,24.190001,24.190001,587300
2019-12-11,24.080000,24.309999,24.000000,24.290001,24.290001,872800
2019-12-12,24.459999,24.750000,24.440001,24.480000,24.480000,1391900
2019-12-13,24.840000,25.010000,24.559999,24.870001,24.870001,1986700
2019-12-16,25.030001,25.120001,24.850000,24.959999,24.959999,1187900
2019-12-17,24.620001,24.830000,24.150000,24.350000,24.350000,1178400
2019-12-18,23.920000,25.049999,23.860001,24.809999,24.809999,5241100
2019-12-19,24.850000,25.190001,24.799999,25.180000,25.180000,1842100
2019-12-20,25.100000,25.400000,25.049999,25.360001,25.360001,1965400
2019-12-23,25.299999,25.350000,25.040001,25.320000,25.320000,1157600
2019-12-24,25.330000,25.410000,25.250000,25.290001,25.290001,197800
2019-12-26,25.320000,25.680000,25.299999,25.559999,25.559999,958000
2019-12-27,25.540001,25.799999,25.469999,25.780001,25.780001,829100
2019-12-30,25.790001,26.059999,25.709999,25.980000,25.980000,1986300
2019-12-31,25.969999,26.170000,25.879999,26.090000,26.090000,930200
2020-01-02,26.209999,26.639999,26.120001,26.540001,26.540001,3263400
2020-01-03,26.209999,26.420000,25.840000,26.020000,26.020000,1203800
2020-01-06,25.879999,26.190001,25.709999,25.980000,25.980000,2318400
2020-01-07,25.990000,26.200001,25.719999,26.090000,26.090000,593900
2020-01-08,26.160000,26.230000,25.930000,25.940001,25.940001,1174700
2020-01-09,25.799999,26.110001,25.670000,25.930000,25.930000,1499500
2020-01-10,25.940001,26.160000,25.790001,25.809999,25.809999,1558200
2020-01-13,25.809999,25.900000,25.100000,25.250000,25.250000,1619100
2020-01-14,25.160000,25.240000,24.990000,25.160000,25.160000,1830900
2020-01-15,25.290001,25.549999,25.250000,25.459999,25.459999,2414000
2020-01-16,25.520000,25.680000,25.459999,25.650000,25.650000,753400
2020-01-17,25.230000,25.430000,24.980000,25.160000,25.160000,1844500
2020-01-21,24.959999,25.139999,24.740000,24.850000,24.850000,1096900
2020-01-22,24.889999,25.010000,24.770000,24.910000,24.910000,593300
2020-01-23,24.840000,25.040001,24.760000,24.780001,24.780001,683200
2020-01-24,24.820000,24.920000,24.500000,24.590000,24.590000,630800
2020-01-27,24.190001,24.680000,24.059999,24.520000,24.520000,669500
2020-01-28,24.629999,24.650000,24.350000,24.379999,24.379999,910000
2020-01-29,24.450001,24.670000,24.450001,24.480000,24.480000,451800
2020-01-30,24.389999,24.610001,24.320000,24.420000,24.420000,1256400
2020-01-31,24.320000,24.320000,23.730000,23.860001,23.860001,1066100
2020-02-03,23.879999,24.049999,23.799999,24.000000,24.000000,1244300
2020-02-04,23.910000,24.170000,23.879999,24.000000,24.000000,429800
2020-02-05,24.049999,24.219999,23.860001,24.110001,24.110001,987500
2020-02-06,23.600000,23.700001,22.969999,23.299999,23.299999,3186900
2020-02-07,23.250000,23.400000,23.110001,23.200001,23.200001,1412000
2020-02-10,23.340000,23.500000,23.100000,23.190001,23.190001,1218600
2020-02-11,23.629999,23.910000,23.580000,23.760000,23.760000,2335900
2020-02-12,23.990000,24.160000,23.969999,23.990000,23.990000,2465500
2020-02-13,23.879999,23.990000,23.610001,23.660000,23.660000,1694300
2020-02-14,23.709999,23.750000,23.260000,23.350000,23.350000,1179900
2020-02-18,23.490000,24.059999,23.490000,23.969999,23.969999,2723300
