Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,8.370000,8.370000,8.020000,8.040000,8.040000,350300
2019-11-27,8.030000,8.180000,7.820000,7.870000,7.870000,343200
2019-11-29,7.830000,8.120000,7.830000,7.920000,7.920000,399200
2019-12-02,7.940000,8.070000,7.680000,7.840000,7.840000,372400
2019-12-03,7.740000,7.770000,7.550000,7.570000,7.570000,294700
2019-12-04,7.580000,7.590000,7.310000,7.340000,7.340000,355900
2019-12-05,7.340000,7.340000,7.020000,7.100000,7.100000,331700
2019-12-06,7.120000,7.350000,7.070000,7.230000,7.230000,482900
2019-12-09,7.230000,7.290000,7.180000,7.230000,7.230000,246100
2019-12-10,7.190000,7.210000,7.120000,7.160000,7.160000,181100
2019-12-11,7.150000,7.160000,7.040000,7.140000,7.140000,499600
2019-12-12,7.150000,7.290000,7.080000,7.130000,7.130000,351400
2019-12-13,7.080000,7.150000,6.900000,6.950000,6.950000,433300
2019-12-16,7.030000,7.080000,6.780000,6.800000,6.800000,347500
2019-12-17,6.780000,6.820000,6.590000,6.770000,6.770000,363400
2019-12-18,6.770000,6.960000,6.600000,6.900000,6.900000,405700
2019-12-19,6.910000,7.000000,6.850000,6.880000,6.880000,361200
2019-12-20,6.890000,6.890000,6.730000,6.840000,6.840000,502200
2019-12-23,6.860000,6.870000,6.710000,6.860000,6.860000,300700
2019-12-24,6.870000,6.980000,6.840000,6.930000,6.930000,145100
2019-12-26,6.950000,7.050000,6.850000,6.940000,6.940000,184200
2019-12-27,6.940000,6.950000,6.820000,6.870000,6.870000,249600
2019-12-30,6.910000,7.080000,6.810000,7.000000,7.000000,328300
2019-12-31,6.970000,7.080000,6.820000,7.050000,7.050000,525700
2020-01-02,7.150000,7.150000,6.970000,7.030000,7.030000,285900
2020-01-03,6.960000,7.100000,6.870000,7.090000,7.090000,420500
2020-01-06,7.040000,7.120000,6.890000,6.950000,6.950000,417900
2020-01-07,6.930000,6.950000,6.680000,6.720000,6.720000,383200
2020-01-08,6.680000,6.860000,6.520000,6.680000,6.680000,866800
2020-01-09,6.680000,6.760000,6.680000,6.750000,6.750000,426800
2020-01-10,6.750000,6.870000,6.690000,6.790000,6.790000,503300
2020-01-13,6.610000,6.650000,5.750000,5.890000,5.890000,2406000
2020-01-14,5.920000,5.940000,5.720000,5.800000,5.800000,893600
2020-01-15,5.750000,5.820000,5.330000,5.470000,5.470000,2201300
2020-01-16,5.520000,5.640000,5.430000,5.540000,5.540000,1448200
2020-01-17,5.600000,5.710000,5.370000,5.390000,5.390000,521000
2020-01-21,5.390000,5.400000,5.020000,5.110000,5.110000,847700
2020-01-22,5.070000,5.130000,4.950000,4.990000,4.990000,508900
2020-01-23,5.000000,5.040000,4.790000,4.980000,4.980000,622300
2020-01-24,5.000000,5.000000,4.790000,4.790000,4.790000,546500
2020-01-27,4.760000,4.810000,4.690000,4.760000,4.760000,688900
2020-01-28,4.780000,5.120000,4.770000,5.110000,5.110000,999100
2020-01-29,5.100000,5.170000,4.800000,4.800000,4.800000,459400
2020-01-30,4.760000,4.800000,4.610000,4.710000,4.710000,428300
2020-01-31,4.670000,4.710000,4.500000,4.540000,4.540000,489500
2020-02-03,4.530000,4.750000,4.520000,4.670000,4.670000,593600
2020-02-04,4.680000,4.860000,4.680000,4.710000,4.710000,484100
2020-02-05,4.800000,5.010000,4.720000,5.000000,5.000000,356400
2020-02-06,5.020000,5.070000,4.810000,4.830000,4.830000,371000
2020-02-07,4.790000,4.850000,4.750000,4.800000,4.800000,296300
2020-02-10,4.870000,4.910000,4.720000,4.730000,4.730000,218700
2020-02-11,4.700000,4.990000,4.690000,4.960000,4.960000,332500
2020-02-12,5.030000,5.150000,4.990000,5.100000,5.100000,353200
2020-02-13,5.070000,5.130000,5.000000,5.110000,5.110000,189600
2020-02-14,5.110000,5.140000,4.920000,5.100000,5.100000,434800
2020-02-18,5.060000,5.190000,4.960000,4.980000,4.980000,289500
2020-02-19,5.000000,5.290000,4.970000,5.200000,5.200000,401100
2020-02-20,5.210000,5.460000,5.200000,5.370000,5.370000,443700
2020-02-21,5.340000,5.360000,4.950000,5.080000,5.080000,444400
2020-02-24,4.850000,5.170000,4.650000,5.130000,5.130000,426500
2020-02-25,4.930000,5.230000,4.800000,4.930000,4.930000,691700
2020-02-26,4.950000,5.000000,4.090000,4.200000,4.200000,1150800
2020-02-27,4.050000,4.080000,3.750000,3.810000,3.810000,809000
2020-02-28,3.780000,4.250000,3.710000,4.130000,4.130000,826700
2020-03-02,4.180000,4.180000,3.710000,3.760000,3.760000,960500
2020-03-03,3.850000,4.120000,3.590000,3.600000,3.600000,715500
2020-03-04,3.810000,3.900000,3.510000,3.610000,3.610000,839800
2020-03-05,3.550000,3.610000,3.220000,3.250000,3.250000,896500
2020-03-06,3.170000,3.200000,2.910000,2.920000,2.920000,1204800
2020-03-09,2.730000,2.810000,2.350000,2.370000,2.370000,1244800
2020-03-10,2.510000,2.640000,2.430000,2.520000,2.520000,2024400
2020-03-11,2.420000,2.500000,2.250000,2.270000,2.270000,1149700
2020-03-12,2.040000,2.070000,1.880000,1.930000,1.930000,910700
2020-03-13,2.090000,2.140000,2.000000,2.050000,2.050000,1119600
2020-03-16,1.870000,1.900000,1.450000,1.540000,1.540000,1432700
2020-03-17,1.510000,1.710000,1.410000,1.420000,1.420000,1322800
2020-03-18,1.280000,1.560000,0.980000,1.070000,1.070000,3321100
2020-03-19,1.190000,1.480000,1.100000,1.400000,1.400000,2316900
2020-03-20,1.310000,1.500000,1.240000,1.240000,1.240000,1462100
2020-03-23,1.280000,1.490000,1.280000,1.400000,1.400000,962400
2020-03-24,1.630000,1.850000,1.450000,1.490000,1.490000,1723600
2020-03-25,1.610000,1.810000,1.520000,1.670000,1.670000,1391800
2020-03-26,1.730000,2.480000,1.700000,2.100000,2.100000,1932700
2020-03-27,2.010000,2.130000,1.890000,2.050000,2.050000,727400
2020-03-30,2.050000,2.140000,1.860000,1.960000,1.960000,504700
2020-03-31,1.960000,1.960000,1.760000,1.820000,1.820000,742300
2020-04-01,1.760000,1.780000,1.590000,1.620000,1.620000,841700
2020-04-02,1.580000,1.860000,1.580000,1.780000,1.780000,1198100
2020-04-03,1.790000,1.790000,1.500000,1.550000,1.550000,1182700
2020-04-06,1.730000,1.810000,1.680000,1.770000,1.770000,538800
2020-04-07,1.890000,2.090000,1.810000,1.870000,1.870000,842900
2020-04-08,1.910000,2.190000,1.890000,2.060000,2.060000,1202400
2020-04-09,2.130000,2.470000,2.130000,2.450000,2.450000,1097600
2020-04-13,2.440000,2.440000,2.130000,2.350000,2.350000,1038200
2020-04-14,2.460000,2.640000,2.400000,2.630000,2.630000,1245900
2020-04-15,2.460000,2.790000,2.400000,2.760000,2.760000,1368700
2020-04-16,2.920000,2.940000,2.690000,2.900000,2.900000,1149200
2020-04-17,3.100000,3.180000,2.850000,3.040000,3.040000,1148900
2020-04-20,3.100000,3.360000,2.770000,2.930000,2.930000,997800
2020-04-21,2.820000,3.040000,2.750000,2.880000,2.880000,942600
2020-04-22,3.020000,3.090000,2.950000,3.030000,3.030000,451700
2020-04-23,3.100000,3.290000,2.950000,3.010000,3.010000,641400
2020-04-24,3.100000,3.120000,2.900000,2.960000,2.960000,458200
