Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,84.129997,84.650002,84.000000,84.559998,83.694740,7651500
2019-11-27,84.849998,85.809998,84.419998,85.769997,84.892357,7502400
2019-11-29,85.910004,86.730003,85.250000,85.430000,84.555840,3857000
2019-12-02,85.379997,85.769997,83.820000,84.570000,83.704636,6425800
2019-12-03,84.029999,85.000000,83.820000,84.820000,83.952080,6049800
2019-12-04,85.129997,85.540001,84.699997,85.400002,84.526146,5940300
2019-12-05,85.440002,85.480003,84.320000,84.449997,83.585861,5170800
2019-12-06,85.029999,86.529999,85.029999,86.320000,85.436729,8499800
2019-12-09,86.309998,86.629997,85.959999,86.279999,85.397141,7164700
2019-12-10,86.500000,87.470001,85.910004,86.040001,85.159599,7944800
2019-12-11,86.260002,86.870003,85.849998,86.589996,85.703964,4921900
2019-12-12,88.000000,88.889999,87.540001,88.209999,87.307388,10282100
2019-12-13,88.019997,88.790001,87.580002,88.669998,87.762680,6714100
2019-12-16,89.139999,89.300003,88.430000,88.779999,87.871559,6705600
2019-12-17,88.870003,88.970001,87.470001,88.129997,87.228210,7296900
2019-12-18,88.389999,88.849998,87.820000,87.989998,87.089645,5859200
2019-12-19,87.830002,88.589996,87.580002,88.519997,87.614220,6022100
2019-12-20,88.790001,89.000000,87.889999,88.459999,87.554832,14271500
2019-12-23,88.620003,88.849998,88.180000,88.230003,87.327194,4349700
2019-12-24,88.199997,88.599998,88.000000,88.519997,87.614220,1847800
2019-12-26,88.730003,88.760002,87.790001,88.080002,87.178726,4177700
2019-12-27,88.110001,88.459999,87.690002,88.129997,87.228210,4129300
2019-12-30,88.010002,88.199997,87.059998,87.440002,86.545273,4655600
2019-12-31,87.440002,87.989998,87.309998,87.919998,87.020363,4115600
2020-01-02,88.120003,89.349998,88.050003,89.349998,88.435722,6473800
2020-01-03,88.660004,89.099998,88.099998,88.830002,87.921051,4874100
2020-01-06,88.110001,88.410004,87.470001,88.129997,87.228210,5409800
2020-01-07,87.959999,88.029999,87.129997,87.860001,86.960976,6514700
2020-01-08,87.940002,89.349998,87.779999,88.879997,87.970535,7296300
2020-01-09,90.250000,91.160004,90.070000,90.529999,89.603653,9443500
2020-01-10,90.800003,90.889999,89.629997,90.160004,89.237442,7097900
2020-01-13,90.620003,91.720001,90.209999,91.080002,90.148026,7382500
2020-01-14,91.190002,91.440002,90.860001,90.989998,90.058945,5855200
2020-01-15,91.000000,92.059998,91.000000,91.540001,90.603317,6145300
2020-01-16,91.989998,92.610001,91.629997,92.580002,91.632675,5180300
2020-01-17,92.930000,93.750000,92.809998,93.620003,92.662041,6962800
2020-01-21,92.830002,93.599998,92.190002,92.529999,91.583183,7094600
2020-01-22,93.139999,93.750000,92.470001,92.529999,91.583183,6157400
2020-01-23,91.919998,93.849998,90.739998,93.750000,92.790710,6100600
2020-01-24,94.000000,94.129997,91.339996,92.029999,91.088303,7815500
2020-01-27,88.629997,89.449997,87.550003,88.730003,87.822075,11066500
2020-01-28,89.050003,89.190002,87.720001,88.599998,87.693398,11922400
2020-01-29,88.150002,88.440002,85.599998,86.720001,85.832642,17678700
2020-01-30,85.449997,86.589996,84.690002,85.839996,84.961639,12224900
2020-01-31,85.790001,85.989998,84.519997,84.830002,83.961975,11693900
2020-02-03,85.070000,86.790001,85.070000,86.010002,85.129906,9092600
2020-02-04,87.139999,89.000000,86.620003,88.379997,87.475655,9997100
2020-02-05,88.879997,89.199997,86.629997,87.559998,87.067955,9982700
2020-02-06,87.650002,87.699997,86.150002,86.150002,85.665878,8901400
2020-02-07,85.760002,86.620003,85.320000,86.419998,85.934357,8073900
2020-02-10,86.430000,87.620003,86.169998,87.529999,87.038124,7289300
2020-02-11,87.860001,88.230003,87.349998,87.510002,87.018234,5098500
2020-02-12,87.709999,89.099998,87.389999,88.570000,88.072281,7747800
2020-02-13,88.500000,90.510002,88.260002,89.930000,89.424637,8576600
2020-02-14,90.180000,90.410004,88.989998,89.279999,88.778290,5686900
2020-02-18,89.370003,89.470001,88.290001,89.230003,88.728577,5288800
2020-02-19,89.489998,90.440002,89.300003,90.139999,89.633453,5210800
2020-02-20,89.730003,90.250000,87.730003,88.599998,88.102112,5969200
2020-02-21,88.000000,88.389999,87.000000,87.360001,86.869080,5800500
2020-02-24,84.529999,86.050003,84.260002,84.519997,84.045036,8313600
2020-02-25,85.019997,85.349998,81.669998,82.190002,81.728134,9404000
2020-02-26,82.599998,83.239998,80.639999,80.669998,80.216675,10541500
2020-02-27,78.830002,80.870003,77.360001,78.290001,77.850052,17120800
2020-02-28,76.169998,78.809998,75.720001,78.430000,77.989258,19120200
2020-03-02,77.919998,82.410004,77.660004,82.379997,81.917061,14258700
2020-03-03,82.300003,82.620003,78.110001,78.599998,78.158302,12395900
2020-03-04,79.290001,80.199997,77.879997,79.669998,79.222290,10999600
2020-03-05,77.900002,77.900002,75.279999,76.190002,75.761848,12545300
2020-03-06,73.459999,75.709999,72.050003,75.339996,74.916618,18080100
2020-03-09,70.580002,74.029999,70.080002,70.830002,70.431969,15930300
2020-03-10,72.559998,74.949997,70.029999,74.870003,74.449272,18414000
2020-03-11,72.830002,74.269997,67.400002,68.300003,67.916191,17138000
2020-03-12,62.950001,66.790001,61.459999,62.099998,61.751026,25170600
2020-03-13,65.650002,70.180000,63.509998,69.919998,69.527084,19247200
2020-03-16,60.630001,63.950001,58.110001,58.590000,58.260754,23354300
2020-03-17,59.549999,59.619999,53.610001,58.980000,58.648560,25045200
2020-03-18,55.549999,57.650002,50.020000,56.330002,56.013454,28770600
2020-03-19,56.230000,63.360001,53.549999,61.410000,61.064903,25167400
2020-03-20,62.299999,65.680000,57.910000,58.029999,57.703899,28420600
2020-03-23,57.230000,57.439999,54.000000,56.549999,56.232216,24905800
2020-03-24,62.610001,65.160004,61.000000,64.879997,64.515404,28286200
2020-03-25,66.830002,69.639999,63.490002,65.809998,65.440178,22977200
2020-03-26,66.709999,71.580002,66.250000,69.900002,69.507195,20997500
2020-03-27,66.680000,68.250000,64.820000,66.339996,65.967194,18950500
2020-03-30,66.559998,68.220001,64.580002,67.860001,67.478661,14199700
2020-03-31,67.180000,68.320000,65.309998,65.739998,65.370567,20109800
2020-04-01,63.000000,64.760002,61.580002,62.619999,62.268105,12880400
2020-04-02,65.750000,68.699997,62.910000,65.000000,64.634727,18175000
2020-04-03,64.470001,64.750000,60.900002,63.049999,62.695686,14676500
2020-04-06,66.269997,68.339996,64.410004,67.790001,67.409050,18010800
