Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,299.260010,301.350006,298.820007,301.239990,299.920990,3359100
2019-11-27,301.820007,302.790009,300.570007,300.760010,299.443085,1906500
2019-11-29,300.820007,300.890015,299.660004,299.809998,298.497253,981600
2019-12-02,299.750000,300.200012,294.269989,297.390015,296.087891,2705500
2019-12-03,295.130005,296.190002,292.700012,295.670013,294.375397,1921400
2019-12-04,296.040009,297.160004,295.149994,296.519989,295.221649,1742000
2019-12-05,297.130005,297.130005,292.500000,293.100006,291.816620,1941100
2019-12-06,294.980011,295.989990,294.260010,294.950012,293.658569,1462000
2019-12-09,295.000000,297.190002,294.549988,295.160004,293.867615,1960000
2019-12-10,296.029999,296.690002,294.549988,295.779999,294.484924,1565900
2019-12-11,296.000000,296.350006,293.049988,295.299988,294.006989,1749800
2019-12-12,295.269989,297.760010,294.119995,297.339996,296.038055,2742700
2019-12-13,294.640015,295.000000,289.100006,291.869995,290.592010,5195600
2019-12-16,293.029999,294.459991,292.850006,293.500000,292.214905,2410000
2019-12-17,293.500000,296.299988,292.750000,295.549988,294.255890,2474100
2019-12-18,295.989990,296.359985,291.820007,291.869995,290.592010,3309800
2019-12-19,292.059998,293.809998,291.500000,293.709991,292.423950,2333600
2019-12-20,293.850006,295.019989,292.779999,294.829987,293.539032,4866500
2019-12-23,294.910004,295.309998,293.029999,293.309998,292.025726,1309800
2019-12-24,293.910004,294.450012,293.359985,294.230011,292.941681,543600
2019-12-26,294.489990,295.730011,293.899994,295.730011,294.435120,1101800
2019-12-27,296.220001,296.299988,293.179993,294.109985,292.822205,1439100
2019-12-30,294.200012,295.609985,293.660004,295.140015,293.847717,1238900
2019-12-31,295.000000,295.450012,292.179993,293.920013,292.633057,1550700
2020-01-02,294.059998,294.579987,291.000000,291.489990,290.213654,2103600
2020-01-03,290.049988,292.899994,289.329987,291.730011,290.452667,1926000
2020-01-06,290.549988,292.070007,288.619995,291.809998,290.532288,2655100
2020-01-07,291.320007,291.690002,289.279999,291.350006,290.074310,1963400
2020-01-08,290.989990,295.480011,290.500000,294.690002,293.399689,2492800
2020-01-09,298.549988,301.959991,297.709991,299.420013,298.108978,3261200
2020-01-10,300.000000,300.269989,296.660004,297.239990,295.938507,2024200
2020-01-13,296.920013,300.649994,296.799988,299.869995,298.557007,1778600
2020-01-14,299.250000,301.000000,298.579987,299.750000,298.437531,1459900
2020-01-15,298.350006,301.040009,298.040009,300.820007,299.502838,1604000
2020-01-16,301.390015,304.059998,300.980011,303.029999,301.703156,1758600
2020-01-17,303.399994,305.299988,303.029999,304.679993,303.345917,2506500
2020-01-21,306.200012,313.339996,305.760010,313.260010,311.888367,3585900
2020-01-22,313.399994,313.559998,310.209991,311.890015,310.524384,2218900
2020-01-23,312.019989,313.399994,310.730011,312.880005,311.510040,1535900
2020-01-24,314.019989,314.279999,309.100006,310.510010,309.150421,1986100
2020-01-27,306.149994,311.769989,305.649994,309.450012,308.095062,2265100
2020-01-28,310.510010,311.709991,309.100006,310.850006,309.488922,1571700
2020-01-29,310.859985,311.970001,309.390015,309.579987,308.224457,1713700
2020-01-30,308.839996,309.640015,306.670013,309.470001,308.114960,1232600
2020-01-31,308.549988,309.179993,304.559998,305.519989,304.182251,1837000
2020-02-03,307.000000,308.579987,301.670013,302.000000,300.677673,2817500
2020-02-04,304.570007,305.910004,302.760010,304.899994,303.564972,1982300
2020-02-05,307.000000,309.589996,305.399994,308.950012,307.597260,1731800
2020-02-06,309.350006,311.839996,307.850006,310.609985,309.901947,1917900
2020-02-07,310.000000,313.809998,309.119995,313.630005,312.915100,1903500
2020-02-10,313.760010,316.940002,312.600006,313.790009,313.074738,2336300
2020-02-11,314.029999,314.429993,310.470001,310.679993,309.971802,2047500
2020-02-12,310.769989,315.480011,310.769989,315.119995,314.401703,1384600
2020-02-13,314.850006,318.790009,313.540009,318.200012,317.474701,1438000
2020-02-14,318.869995,319.809998,316.950012,318.309998,317.584412,1113400
2020-02-18,319.000000,323.480011,318.609985,322.049988,321.315887,1547100
2020-02-19,322.079987,324.529999,321.730011,323.019989,322.283691,1413600
2020-02-20,322.320007,325.070007,321.010010,324.079987,323.341248,1427500
2020-02-21,322.559998,325.260010,321.029999,321.950012,321.216125,2239000
2020-02-24,315.500000,320.000000,313.260010,313.619995,312.905121,2300400
2020-02-25,315.000000,316.570007,304.399994,304.869995,304.175049,2881800
2020-02-26,307.549988,311.299988,304.679993,305.690002,304.993195,2236000
2020-02-27,301.980011,305.000000,293.000000,293.130005,292.461823,3625300
2020-02-28,285.250000,287.329987,271.279999,281.140015,280.499176,7096600
2020-03-02,294.440002,309.510010,291.380005,309.140015,308.435333,7563800
2020-03-03,309.140015,314.170013,301.029999,302.730011,302.039948,5131400
2020-03-04,308.290009,320.970001,305.019989,320.739990,320.008881,4219300
2020-03-05,315.769989,324.510010,313.200012,315.760010,315.040253,6407700
2020-03-06,312.140015,317.489990,302.750000,311.339996,310.630310,6185500
2020-03-09,295.850006,310.329987,293.000000,301.980011,301.291656,5203100
2020-03-10,307.970001,309.730011,294.420013,309.399994,308.694733,4245500
2020-03-11,300.859985,307.790009,294.190002,297.429993,296.752014,3622700
2020-03-12,280.440002,295.630005,276.339996,279.850006,279.212097,7307600
2020-03-13,288.829987,303.250000,278.269989,302.269989,301.580963,6100100
2020-03-16,281.829987,299.529999,279.510010,283.179993,282.534485,5465500
2020-03-17,289.000000,307.190002,286.299988,306.989990,306.290222,7170600
2020-03-18,298.000000,318.000000,296.000000,307.500000,306.799072,6701800
2020-03-19,310.410004,313.850006,302.630005,305.220001,304.524261,5429500
2020-03-20,307.920013,308.010010,287.019989,290.420013,289.758026,6581200
2020-03-23,292.010010,295.670013,278.420013,285.529999,284.879150,5646400
2020-03-24,294.589996,297.350006,282.829987,284.940002,284.290497,7124200
2020-03-25,284.209991,290.720001,279.209991,280.859985,280.219788,5639600
2020-03-26,281.339996,293.730011,280.859985,292.299988,291.633698,5463100
2020-03-27,287.130005,293.489990,283.329987,284.329987,283.681854,4250400
2020-03-30,287.489990,291.679993,285.839996,291.119995,290.456390,4396000
2020-03-31,287.420013,291.519989,284.000000,285.130005,284.480072,5618600
2020-04-01,282.359985,288.799988,280.899994,286.779999,286.126282,3745800
2020-04-02,284.380005,292.779999,282.820007,291.480011,290.815582,3500600
2020-04-03,289.160004,292.339996,285.799988,288.649994,287.992035,2650100
2020-04-06,293.000000,305.489990,289.570007,305.119995,304.424500,5272500
2020-04-07,306.500000,310.000000,303.220001,303.630005,302.937897,4036500
2020-04-08,305.109985,307.420013,302.279999,305.970001,305.272552,3964400
2020-04-09,299.450012,304.350006,297.579987,300.010010,299.326141,6492700
2020-04-13,298.579987,303.950012,297.660004,299.619995,298.937012,3120400
2020-04-14,302.750000,314.750000,301.250000,314.140015,313.423950,4288300
2020-04-15,311.640015,313.750000,306.820007,310.269989,309.562744,2937300
2020-04-16,314.730011,322.630005,312.040009,321.559998,320.827026,3940000
2020-04-17,321.309998,322.130005,314.019989,317.920013,317.195313,3688000
2020-04-20,317.950012,318.380005,311.529999,312.079987,311.368622,3156300
2020-04-21,311.140015,311.890015,299.350006,301.329987,300.643127,3833000
2020-04-22,304.000000,311.130005,302.040009,309.420013,308.714691,2971200
2020-04-23,307.029999,309.640015,304.790009,305.399994,304.703857,2625200
2020-04-24,307.329987,310.829987,305.510010,310.549988,309.842102,2020600
