Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,151.750000,153.410004,150.610001,151.639999,150.736893,24949900
2019-11-27,152.300003,152.570007,151.149994,151.479996,150.577850,6155400
2019-11-29,151.479996,152.470001,151.009995,151.580002,150.677261,6284900
2019-12-02,152.940002,152.970001,149.100006,150.619995,149.722961,10351000
2019-12-03,147.740005,149.110001,146.869995,148.580002,147.695129,9273800
2019-12-04,149.300003,149.330002,148.179993,148.279999,147.396912,7684800
2019-12-05,148.690002,148.830002,147.100006,147.440002,146.561905,7363300
2019-12-06,148.399994,148.610001,147.179993,147.660004,146.780609,7084900
2019-12-09,147.960007,148.509995,145.399994,146.210007,145.339249,11515000
2019-12-10,145.259995,146.850006,145.050003,146.100006,145.229889,7084100
2019-12-11,147.389999,147.889999,146.759995,147.589996,146.711014,8253700
2019-12-12,147.919998,148.929993,147.250000,147.759995,146.880005,7748300
2019-12-13,147.429993,147.800003,146.309998,146.380005,146.380005,9350100
2019-12-16,147.589996,148.649994,146.550003,148.460007,148.460007,9134400
2019-12-17,148.100006,148.460007,147.619995,147.729996,147.729996,8776100
2019-12-18,147.770004,147.949997,146.190002,146.259995,146.259995,9467800
2019-12-19,146.179993,146.800003,145.320007,146.149994,146.149994,10243900
2019-12-20,147.149994,147.880005,145.770004,146.880005,146.880005,12629900
2019-12-23,145.910004,146.330002,144.330002,144.679993,144.679993,9314000
2019-12-24,144.580002,145.429993,144.449997,145.289993,145.289993,3508500
2019-12-26,145.399994,145.860001,145.169998,145.699997,145.699997,4422000
2019-12-27,146.050003,146.509995,145.449997,145.750000,145.750000,5495300
2019-12-30,145.750000,145.869995,143.399994,143.770004,143.770004,6602800
2019-12-31,143.669998,144.770004,143.259995,144.630005,144.630005,5662900
2020-01-02,145.289993,148.199997,145.100006,148.199997,148.199997,9502100
2020-01-03,146.399994,147.899994,146.050003,146.500000,146.500000,7320200
2020-01-06,145.539993,146.029999,144.309998,145.649994,145.649994,8262500
2020-01-07,145.990005,146.869995,145.419998,145.699997,145.699997,6906500
2020-01-08,145.490005,146.130005,144.820007,145.399994,145.399994,6984200
2020-01-09,146.470001,146.630005,144.610001,144.830002,144.830002,6664200
2020-01-10,145.300003,145.500000,144.259995,144.619995,144.619995,5152500
2020-01-13,144.750000,144.750000,143.360001,143.880005,143.880005,9921300
2020-01-14,143.410004,146.720001,142.289993,145.199997,145.199997,14839100
2020-01-15,145.710007,145.710007,143.929993,144.320007,144.320007,6818200
2020-01-16,145.089996,145.429993,144.440002,145.119995,145.119995,6948400
2020-01-17,145.539993,145.639999,144.009995,144.330002,144.330002,10355300
2020-01-21,144.240005,144.589996,143.009995,143.559998,143.559998,9250200
2020-01-22,144.449997,144.789993,143.539993,144.009995,144.009995,7550000
2020-01-23,143.600006,143.610001,140.649994,142.199997,142.199997,11082000
2020-01-24,141.399994,142.250000,139.199997,140.080002,140.080002,13076300
2020-01-27,135.860001,137.729996,135.000000,135.899994,135.899994,12831800
2020-01-28,136.500000,138.929993,135.860001,138.369995,138.369995,10390000
