Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,103.199997,105.419998,102.849998,105.320000,105.158630,1955800
2019-11-27,105.559998,106.419998,105.040001,106.370003,106.207024,1656600
2019-11-29,105.820000,106.250000,104.769997,105.000000,104.839119,764600
2019-12-02,105.059998,105.080002,103.750000,104.750000,104.589500,1781500
2019-12-03,103.260002,104.180000,102.760002,103.949997,103.790726,1449600
2019-12-04,104.099998,104.769997,103.860001,104.180000,104.020378,1114200
2019-12-05,104.620003,105.300003,104.279999,104.910004,104.749260,1096800
2019-12-06,105.860001,106.250000,105.309998,105.470001,105.308403,1026000
2019-12-09,105.599998,106.110001,104.750000,104.750000,104.589500,1404600
2019-12-10,104.919998,105.580002,104.519997,104.699997,104.539574,1329100
2019-12-11,105.110001,105.949997,104.800003,105.699997,105.538040,1453700
2019-12-12,105.669998,107.230003,105.370003,106.519997,106.356789,1421800
2019-12-13,106.540001,107.440002,106.169998,107.199997,107.035744,1286600
2019-12-16,108.040001,109.300003,107.699997,108.480003,108.313789,2516700
2019-12-17,108.320000,108.900002,107.739998,108.800003,108.633301,2109000
2019-12-18,109.040001,109.660004,108.510002,109.250000,109.082611,2524300
2019-12-19,109.269997,110.669998,109.150002,110.339996,110.170937,1935700
2019-12-20,111.180000,111.720001,110.309998,111.419998,111.249283,3343700
2019-12-23,111.059998,111.680000,111.040001,111.279999,111.109497,1495800
2019-12-24,111.430000,111.919998,111.080002,111.370003,111.199364,436700
2019-12-26,111.430000,111.980003,111.300003,111.940002,111.768486,1268300
2019-12-27,112.320000,112.790001,111.760002,112.389999,112.217796,890200
2019-12-30,112.500000,112.690002,110.970001,111.370003,111.199364,953200
2019-12-31,111.080002,111.529999,110.610001,110.910004,110.740067,1327800
2020-01-02,111.150002,111.620003,110.459999,111.449997,111.279236,2014600
2020-01-03,110.000000,110.410004,108.639999,109.989998,109.821472,1854500
2020-01-06,109.019997,109.449997,108.589996,109.419998,109.252342,1821800
2020-01-07,109.269997,109.489998,108.160004,108.290001,108.124077,1498900
2020-01-08,108.139999,110.040001,107.889999,109.209999,109.042671,2741600
2020-01-09,109.889999,110.199997,109.050003,109.089996,108.922852,1596200
2020-01-10,109.449997,109.449997,108.389999,108.599998,108.433601,1296300
2020-01-13,108.940002,109.330002,108.209999,109.290001,109.122543,1573900
2020-01-14,109.139999,109.500000,108.589996,109.089996,108.922852,1233200
2020-01-15,108.940002,109.860001,108.589996,109.629997,109.462021,1316100
2020-01-16,110.320000,111.650002,110.190002,111.599998,111.429008,1217100
2020-01-17,112.169998,113.959999,111.980003,113.919998,113.745453,2512600
2020-01-21,112.489998,112.620003,109.930000,110.620003,110.450508,4031800
2020-01-22,110.980003,112.610001,110.540001,110.849998,110.680153,1716600
2020-01-23,109.190002,111.150002,107.650002,110.959999,110.789986,1607100
2020-01-24,111.449997,111.449997,107.480003,108.489998,108.323769,2105300
2020-01-27,104.300003,105.970001,103.529999,104.940002,104.779213,4149700
2020-01-28,106.000000,108.040001,105.559998,107.860001,107.694740,2062400
2020-01-29,108.129997,110.129997,108.129997,110.010002,109.841446,1854200
2020-01-30,108.300003,109.449997,107.220001,109.070000,108.902885,2389300
2020-01-31,108.809998,108.889999,107.010002,107.800003,107.634834,3606700
2020-02-03,108.540001,109.889999,107.820000,107.849998,107.684753,2097700
2020-02-04,109.919998,111.989998,109.389999,110.940002,110.770020,1689500
2020-02-05,112.440002,113.580002,112.150002,113.260002,113.086464,2144000
2020-02-06,113.699997,113.879997,111.800003,112.699997,112.527321,1477600
2020-02-07,111.419998,111.639999,110.419998,110.839996,110.670166,1371200
2020-02-10,110.419998,111.370003,110.150002,111.370003,111.199364,2028600
2020-02-11,110.440002,115.059998,109.019997,112.940002,112.766953,2388600
2020-02-12,113.489998,115.480003,113.199997,113.699997,113.525787,1891100
2020-02-13,112.660004,113.540001,111.169998,112.959999,112.786919,1396000
2020-02-14,113.089996,113.629997,112.129997,113.230003,113.056511,948900
2020-02-18,112.980003,113.300003,111.849998,111.930000,111.758499,1805100
2020-02-19,112.050003,113.449997,112.050003,112.669998,112.497368,1543300
2020-02-20,112.320000,113.830002,111.769997,112.000000,111.828392,1165300
2020-02-21,111.139999,111.209999,109.320000,109.570000,109.402115,1716100
2020-02-24,104.620003,105.349998,103.489998,104.019997,103.860619,4565200
2020-02-25,104.820000,104.889999,98.309998,98.879997,98.728493,5490900
2020-02-26,99.639999,100.820000,96.300003,97.900002,97.750000,6110500
2020-02-27,95.529999,100.690002,93.220001,95.830002,95.830002,7692700
2020-02-28,92.949997,98.339996,92.699997,97.199997,97.199997,6129200
2020-03-02,97.040001,97.699997,92.580002,96.459999,96.459999,4791400
2020-03-03,96.580002,96.790001,92.239998,93.330002,93.330002,6433300
2020-03-04,94.699997,98.519997,92.000000,98.389999,98.389999,7065200
2020-03-05,94.099998,95.139999,91.290001,91.500000,91.500000,9044900
2020-03-06,89.019997,94.209999,88.320000,90.449997,90.449997,6450400
2020-03-09,83.400002,87.540001,83.400002,86.180000,86.180000,7335700
2020-03-10,89.989998,91.529999,85.680000,90.320000,90.320000,5472100
2020-03-11,88.220001,88.220001,79.169998,81.089996,81.089996,9833200
2020-03-12,71.410004,79.570000,71.400002,76.720001,76.720001,11501200
2020-03-13,80.849998,81.980003,76.639999,78.629997,78.629997,8068300
2020-03-16,69.419998,75.889999,63.830002,69.540001,69.540001,8647000
2020-03-17,70.570000,71.000000,61.849998,64.830002,64.830002,10971800
2020-03-18,58.009998,58.459999,44.299999,56.680000,56.680000,18610500
2020-03-19,55.000000,62.820000,51.040001,58.029999,58.029999,13086300
2020-03-20,61.290001,71.480003,56.500000,61.599998,61.599998,11377400
2020-03-23,61.250000,67.779999,60.049999,63.330002,63.330002,11003500
2020-03-24,68.430000,75.669998,67.510002,69.389999,69.389999,9956100
2020-03-25,75.309998,76.730003,67.349998,72.250000,72.250000,7695500
2020-03-26,75.599998,78.760002,70.239998,73.199997,73.199997,7410400
2020-03-27,69.000000,71.699997,66.199997,69.150002,69.150002,5784100
2020-03-30,66.790001,69.830002,64.580002,68.680000,68.680000,5064200
2020-03-31,68.750000,71.830002,67.889999,68.239998,68.239998,5160600
2020-04-01,65.000000,66.400002,62.360001,63.040001,63.040001,5743000
2020-04-02,62.330002,65.989998,57.000000,57.860001,57.860001,7930200
2020-04-03,58.000000,59.480000,53.700001,55.939999,55.939999,7232900
2020-04-06,60.869999,64.330002,60.110001,63.799999,63.799999,9128500
2020-04-07,70.180000,73.480003,65.309998,65.830002,65.830002,7903000
2020-04-08,67.309998,70.190002,66.330002,70.089996,70.089996,8521200
2020-04-09,70.220001,73.209999,68.110001,68.449997,68.449997,7537400
2020-04-13,68.529999,68.900002,64.320000,66.639999,66.639999,4020700
2020-04-14,68.250000,71.300003,68.250000,70.010002,70.010002,4575800
2020-04-15,66.040001,71.279999,65.610001,69.870003,69.870003,5803000
2020-04-16,69.809998,70.699997,67.769997,70.150002,70.150002,4772000
2020-04-17,74.669998,75.849998,72.730003,75.620003,75.620003,4952800
2020-04-20,73.500000,75.540001,71.449997,72.279999,72.279999,4815400
2020-04-21,70.330002,72.480003,70.099998,71.349998,71.349998,3139100
2020-04-22,72.510002,73.599998,69.589996,70.790001,70.790001,2710400
2020-04-23,71.589996,73.790001,70.699997,71.940002,71.940002,2246100
2020-04-24,72.459999,72.599998,70.050003,71.370003,71.370003,1954000
